0.186,0.354,0.259,0.2,0.225,0.231,0.249,0.208,0.219,0.193
0.353,0.352,0.29,0.279,0.731,0.252,0.429,0.351,0.645,0.047
0.182,0.216,0.2,0.192,0.266,0.19,0.219,0.194,0.228,0.209
0.168,0.166,0.146,0.139,0.146,0.145,0.182,0.208,0.02,0.162
0.211,0.223,0.219,0.203,0.259,0.197,0.258,0.237,0.253,0.197
0.325,0.263,0.331,0.322,,0.308,0.313,0.315,0.306,0.312
0.126,0.111,0.099,0.105,0.099,0.13,0.156,0.167,0.137,0.103
1.784,1.751,1.983,2.776,2.008,1.776,2.362,1.959,2.293,1.761
0.407,0.345,0.316,0.114,0.452,0.325,0.213,0.34,0.345,0.353
1.671,1.361,1.631,1.549,1.94,1.371,1.245,2.309,1.269,1.636
1.866,1.705,2.431,3.179,2.385,2.031,2.837,,3.056,3.536
2.021,2.589,2.072,3.201,2.98,2.028,2.38,2.267,2.559,2.206
