type,time,latitude,longitude,altitude (m),name,des
T,30/12/2017 19:47,45.492816,-73.564419,10,,
T,30/12/2017 19:47,45.492958,-73.564618,14,,
T,30/12/2017 19:47,45.493431,-73.564415,23,,
T,30/12/2017 19:48,45.493928,-73.564028,50,,
T,30/12/2017 19:48,45.494198,-73.56353,53,,
T,30/12/2017 19:48,45.493893,-73.562692,48,,
T,30/12/2017 19:48,45.493745,-73.562287,33,,
T,30/12/2017 19:48,45.493643,-73.562008,24,,
T,30/12/2017 19:49,45.493388,-73.56229,22,,
T,30/12/2017 19:49,45.493054,-73.562362,23,,
T,30/12/2017 19:49,45.49286,-73.561848,15,,
T,30/12/2017 19:49,45.49271,-73.561447,12,,
T,30/12/2017 19:49,45.492507,-73.560908,11,,
T,30/12/2017 19:50,45.492494,-73.5606,12,,
T,30/12/2017 19:50,45.492881,-73.560279,17,,
T,30/12/2017 19:50,45.493156,-73.560052,17,,
T,30/12/2017 19:50,45.493424,-73.559854,15,,
T,30/12/2017 19:50,45.493716,-73.559624,19,,
T,30/12/2017 19:51,45.493908,-73.559465,21,,
T,30/12/2017 19:51,45.494313,-73.559169,19,,
T,30/12/2017 19:51,45.494595,-73.558973,20,,
T,30/12/2017 19:51,45.495009,-73.558656,20,,
T,30/12/2017 19:52,45.495154,-73.558419,26,,
T,30/12/2017 19:52,45.49489,-73.557707,27,,
T,30/12/2017 19:52,45.494617,-73.556969,16,,
T,30/12/2017 19:52,45.494372,-73.556682,11,,
T,30/12/2017 19:52,45.493899,-73.557044,9,,
T,30/12/2017 19:53,45.49362,-73.55724,5,,
T,30/12/2017 19:53,45.492999,-73.557683,4,,
T,30/12/2017 19:53,45.492382,-73.558102,5,,
T,30/12/2017 19:53,45.491616,-73.5582,8,,
T,30/12/2017 19:53,45.490879,-73.557632,7,,
T,30/12/2017 19:53,45.490183,-73.557384,8,,
T,30/12/2017 19:54,45.489435,-73.557174,10,,
T,30/12/2017 19:54,45.489236,-73.557168,10,,
T,30/12/2017 19:54,45.48837,-73.557153,10,,
T,30/12/2017 19:54,45.487705,-73.557267,10,,
T,30/12/2017 19:54,45.487339,-73.557008,7,,
T,30/12/2017 19:55,45.487184,-73.55601,4,,
T,30/12/2017 19:55,45.487105,-73.555128,7,,
T,30/12/2017 19:55,45.487028,-73.554262,8,,
T,30/12/2017 19:55,45.486947,-73.553342,3,,
T,30/12/2017 19:56,45.486877,-73.552607,5,,
T,30/12/2017 19:56,45.48673,-73.552343,7,,
T,30/12/2017 19:56,45.48626,-73.552436,6,,
T,30/12/2017 19:57,45.486176,-73.552777,5,,
T,30/12/2017 19:57,45.486235,-73.55345,6,,
T,30/12/2017 19:57,45.4863,-73.553731,5,,
T,30/12/2017 19:57,45.486388,-73.554282,3,,
T,30/12/2017 19:58,45.486489,-73.554537,0,,
T,30/12/2017 19:59,45.486671,-73.554544,5,,
T,30/12/2017 19:59,45.486815,-73.554345,1,,
T,30/12/2017 19:59,45.48659,-73.553652,0,,
