typ,time,latitude,longitude,altitude (m),name,desc
T,01/01/2018 1:33,45.492897,-73.56356,-16.2,pixelmasir8_11,
T,01/01/2018 1:34,45.492931,-73.563484,-16.2,,
T,01/01/2018 1:34,45.492886,-73.563446,-16.2,,
T,01/01/2018 1:34,45.492817,-73.563499,109,,
T,01/01/2018 1:34,45.492935,-73.563385,148,,
T,01/01/2018 1:34,45.492855,-73.5634,40,,
T,01/01/2018 1:35,45.492912,-73.563408,32,,
T,01/01/2018 1:35,45.49292,-73.563347,75,,
T,01/01/2018 1:36,45.49292,-73.563553,56,,
T,01/01/2018 1:36,45.492989,-73.56356,49,,
T,01/01/2018 1:36,45.493031,-73.563606,30,,
T,01/01/2018 1:37,45.493011,-73.563675,27,,
T,01/01/2018 1:37,45.49295,-73.56369,14,,
T,01/01/2018 1:37,45.492878,-73.563698,15,,
T,01/01/2018 1:38,45.492733,-73.563805,12,,
T,01/01/2018 1:38,45.49268,-73.563881,11,,
T,01/01/2018 1:38,45.492584,-73.563866,10,,
T,01/01/2018 1:38,45.492592,-73.563957,8,,
T,01/01/2018 1:41,45.492634,-73.563942,-3,,
T,01/01/2018 1:49,45.492588,-73.564095,3,,
T,01/01/2018 1:49,45.492825,-73.56456,5,,
T,01/01/2018 1:49,45.492931,-73.564743,2,,
T,01/01/2018 1:49,45.492901,-73.56485,-2,,
T,01/01/2018 1:49,45.492722,-73.565186,-2,,
T,01/01/2018 1:49,45.492256,-73.56543,-4,,
T,01/01/2018 1:49,45.491947,-73.565674,-2,,
T,01/01/2018 1:49,45.491558,-73.565987,-3,,
T,01/01/2018 1:49,45.491211,-73.566277,-7,,
T,01/01/2018 1:49,45.490891,-73.566551,-7,,
T,01/01/2018 1:49,45.490688,-73.566757,-9,,
T,01/01/2018 1:49,45.490467,-73.566917,-9,,
T,01/01/2018 1:49,45.490299,-73.567039,-11,,
T,01/01/2018 1:50,45.490231,-73.567085,-11,,
T,01/01/2018 1:50,45.490177,-73.567131,-11,,
T,01/01/2018 1:50,45.49004,-73.567299,-11,,
T,01/01/2018 1:50,45.489845,-73.56749,-11,,
T,01/01/2018 1:50,45.489624,-73.567635,-10,,
T,01/01/2018 1:50,45.48946,-73.567772,-11,,
T,01/01/2018 1:50,45.489178,-73.568001,-10,,
T,01/01/2018 1:50,45.489002,-73.568138,-10,,
T,01/01/2018 1:50,45.488766,-73.568298,-11,,
T,01/01/2018 1:50,45.488544,-73.56842,-9,,
T,01/01/2018 1:50,45.488419,-73.568497,-11,,
T,01/01/2018 1:50,45.488281,-73.568619,-15,,
T,01/01/2018 1:50,45.488129,-73.56871,-16,,
T,01/01/2018 1:50,45.488003,-73.568779,-17,,
T,01/01/2018 1:50,45.48793,-73.56884,-16,,
T,01/01/2018 1:51,45.487766,-73.568878,-15,,
T,01/01/2018 1:51,45.487625,-73.568962,-13,,
T,01/01/2018 1:51,45.487469,-73.569077,-16,,
T,01/01/2018 1:51,45.487289,-73.569206,-16,,
T,01/01/2018 1:51,45.487175,-73.56926,-15,,
T,01/01/2018 1:51,45.486938,-73.569412,-15,,
T,01/01/2018 1:51,45.48679,-73.569527,-16,,
T,01/01/2018 1:51,45.486595,-73.569695,-14,,
T,01/01/2018 1:51,45.486481,-73.569786,-15,,
T,01/01/2018 1:51,45.48629,-73.569962,-16,,
T,01/01/2018 1:51,45.48605,-73.570221,-18,,
T,01/01/2018 1:51,45.485855,-73.570419,-17,,
T,01/01/2018 1:51,45.485645,-73.57074,-17,,
T,01/01/2018 1:51,45.48547,-73.571014,-14,,
T,01/01/2018 1:51,45.485233,-73.571381,-12,,
T,01/01/2018 1:52,45.485004,-73.5718,-12,,
T,01/01/2018 1:52,45.48481,-73.572113,-11,,
T,01/01/2018 1:52,45.48455,-73.572525,-11,,
T,01/01/2018 1:52,45.484344,-73.57283,-13,,
T,01/01/2018 1:52,45.484165,-73.573318,-15,,
T,01/01/2018 1:52,45.483902,-73.573555,-16,,
T,01/01/2018 1:52,45.483738,-73.573845,-14,,
T,01/01/2018 1:52,45.483578,-73.574089,-10,,
T,01/01/2018 1:52,45.483479,-73.574265,-11,,
T,01/01/2018 1:52,45.483307,-73.574615,-10,,
T,01/01/2018 1:52,45.483189,-73.574806,-8,,
T,01/01/2018 1:53,45.483067,-73.574989,-7,,
T,01/01/2018 1:53,45.482845,-73.575218,-8,,
T,01/01/2018 1:53,45.482792,-73.575401,-12,,
T,01/01/2018 1:53,45.482761,-73.575455,-8,,
T,01/01/2018 1:53,45.482731,-73.575546,-6,,
T,01/01/2018 1:53,45.482597,-73.575783,-13,,
T,01/01/2018 1:53,45.482376,-73.57608,-15,,
T,01/01/2018 1:53,45.482262,-73.576332,-16,,
T,01/01/2018 1:53,45.482094,-73.576622,-17,,
T,01/01/2018 1:53,45.481884,-73.576981,-20,,
T,01/01/2018 1:53,45.481621,-73.577332,-21,,
T,01/01/2018 1:53,45.481396,-73.577774,-21,,
T,01/01/2018 1:54,45.481354,-73.577751,-22,,
T,01/01/2018 1:55,45.481384,-73.577698,-21,,
T,01/01/2018 1:55,45.481369,-73.577766,-22,,
T,01/01/2018 1:55,45.481319,-73.577827,-17,,
T,01/01/2018 1:55,45.481277,-73.577881,-18,,
T,01/01/2018 1:55,45.481216,-73.57798,-15,,
T,01/01/2018 1:55,45.481033,-73.577827,-16,,
T,01/01/2018 1:55,45.480865,-73.57769,-16,,
T,01/01/2018 1:55,45.480686,-73.577568,-16,,
T,01/01/2018 1:55,45.480457,-73.577614,-16,,
T,01/01/2018 1:55,45.480186,-73.577827,-16,,
T,01/01/2018 1:55,45.479847,-73.577911,-16,,
T,01/01/2018 1:55,45.479572,-73.577866,-17,,
T,01/01/2018 1:55,45.479202,-73.577629,-15,,
T,01/01/2018 1:55,45.47897,-73.577393,-18,,
T,01/01/2018 1:55,45.478706,-73.57711,-20,,
T,01/01/2018 1:55,45.47834,-73.576691,-20,,
T,01/01/2018 1:56,45.478249,-73.576584,-9999,,
T,01/01/2018 1:56,45.477108,-73.574936,-9999,,
T,01/01/2018 1:56,45.47612,-73.574203,-22,,
T,01/01/2018 1:56,45.475887,-73.573959,-22,,
T,01/01/2018 1:56,45.475571,-73.573647,-23,,
T,01/01/2018 1:56,45.475323,-73.573463,-22,,
T,01/01/2018 1:56,45.475098,-73.573624,-23,,
T,01/01/2018 1:56,45.475075,-73.573929,-18,,
T,01/01/2018 1:56,45.475178,-73.574211,-18,,
T,01/01/2018 1:56,45.475269,-73.574501,-16,,
T,01/01/2018 1:56,45.475166,-73.574905,-17,,
T,01/01/2018 1:56,45.474854,-73.575165,-18,,
T,01/01/2018 1:57,45.474552,-73.575218,-15,,
T,01/01/2018 1:57,45.474144,-73.575325,-17,,
T,01/01/2018 1:57,45.473804,-73.575539,-18,,
T,01/01/2018 1:57,45.473404,-73.575966,-17,,
T,01/01/2018 1:57,45.472973,-73.576363,-15,,
T,01/01/2018 1:57,45.472633,-73.576668,-15,,
T,01/01/2018 1:57,45.472298,-73.577011,-16,,
T,01/01/2018 1:57,45.471966,-73.577347,-17,,
T,01/01/2018 1:57,45.471348,-73.577911,-16,,
T,01/01/2018 1:57,45.470833,-73.578362,-17,,
T,01/01/2018 1:57,45.470211,-73.578926,-15,,
T,01/01/2018 1:57,45.469597,-73.579376,-14,,
T,01/01/2018 1:57,45.469143,-73.57962,-8,,
T,01/01/2018 1:57,45.46859,-73.579895,-6,,
T,01/01/2018 1:57,45.467972,-73.580223,-5,,
T,01/01/2018 1:57,45.46756,-73.580467,-4,,
T,01/01/2018 1:57,45.467121,-73.580742,-9,,
T,01/01/2018 1:58,45.466621,-73.581192,-9,,
T,01/01/2018 1:58,45.46616,-73.58168,-11,,
T,01/01/2018 1:58,45.465809,-73.582222,-11,,
T,01/01/2018 1:58,45.465488,-73.582527,-11,,
T,01/01/2018 1:58,45.465088,-73.582947,-12,,
T,01/01/2018 1:58,45.464817,-73.583519,-13,,
T,01/01/2018 1:58,45.46471,-73.584328,-12,,
T,01/01/2018 1:58,45.464703,-73.585197,-10,,
T,01/01/2018 1:58,45.464699,-73.585815,-9,,
T,01/01/2018 1:58,45.46471,-73.586456,-9,,
T,01/01/2018 1:58,45.464691,-73.58728,-5,,
T,01/01/2018 1:58,45.464661,-73.587875,-3,,
T,01/01/2018 1:58,45.464691,-73.588684,-1,,
T,01/01/2018 1:58,45.464695,-73.589561,2,,
T,01/01/2018 1:58,45.464706,-73.590202,3,,
T,01/01/2018 1:58,45.464722,-73.59111,4,,
T,01/01/2018 1:58,45.46471,-73.592026,2,,
T,01/01/2018 1:59,45.464703,-73.592873,5,,
T,01/01/2018 1:59,45.464802,-73.593536,8,,
T,01/01/2018 1:59,45.464993,-73.594414,9,,
T,01/01/2018 1:59,45.465176,-73.594971,10,,
T,01/01/2018 1:59,45.465469,-73.595665,8,,
T,01/01/2018 1:59,45.465714,-73.596169,7,,
T,01/01/2018 1:59,45.466137,-73.596771,7,,
T,01/01/2018 1:59,45.466503,-73.597229,8,,
T,01/01/2018 1:59,45.466969,-73.597786,7,,
T,01/01/2018 1:59,45.467312,-73.59819,7,,
T,01/01/2018 1:59,45.4678,-73.598747,4,,
T,01/01/2018 1:59,45.468147,-73.599167,3,,
T,01/01/2018 1:59,45.46851,-73.599602,3,,
T,01/01/2018 1:59,45.468979,-73.600189,1,,
T,01/01/2018 1:59,45.469334,-73.60067,1,,
T,01/01/2018 1:59,45.469673,-73.601151,3,,
T,01/01/2018 1:59,45.470043,-73.60186,2,,
T,01/01/2018 2:00,45.470291,-73.602409,1,,
T,01/01/2018 2:00,45.470509,-73.602997,-1,,
T,01/01/2018 2:00,45.470699,-73.603638,2,,
T,01/01/2018 2:00,45.47094,-73.604507,4,,
T,01/01/2018 2:00,45.471218,-73.605446,3,,
T,01/01/2018 2:00,45.471424,-73.606071,4,,
T,01/01/2018 2:00,45.471783,-73.606857,4,,
T,01/01/2018 2:00,45.472172,-73.607597,7,,
T,01/01/2018 2:00,45.472439,-73.60836,8,,
T,01/01/2018 2:00,45.472656,-73.608955,11,,
T,01/01/2018 2:00,45.472916,-73.609566,14,,
T,01/01/2018 2:00,45.473236,-73.610199,16,,
T,01/01/2018 2:00,45.473541,-73.611015,16,,
T,01/01/2018 2:00,45.473839,-73.611664,15,,
T,01/01/2018 2:00,45.474094,-73.612251,17,,
T,01/01/2018 2:00,45.47435,-73.612869,18,,
T,01/01/2018 2:00,45.474716,-73.613686,20,,
T,01/01/2018 2:00,45.474983,-73.614304,24,,
T,01/01/2018 2:01,45.475357,-73.615082,23,,
T,01/01/2018 2:01,45.475761,-73.615829,26,,
T,01/01/2018 2:01,45.477604,-73.618507,22,,
T,01/01/2018 2:01,45.478062,-73.619072,32,,
T,01/01/2018 2:01,45.478416,-73.619453,37,,
T,01/01/2018 2:01,45.478947,-73.61998,42,,
T,01/01/2018 2:01,45.479504,-73.620461,42,,
T,01/01/2018 2:01,45.479988,-73.621056,46,,
T,01/01/2018 2:01,45.480339,-73.621567,44,,
T,01/01/2018 2:01,45.480698,-73.622269,43,,
T,01/01/2018 2:01,45.480984,-73.622894,43,,
T,01/01/2018 2:01,45.481274,-73.623604,40,,
T,01/01/2018 2:01,45.481567,-73.624229,38,,
T,01/01/2018 2:02,45.481853,-73.624908,38,,
T,01/01/2018 2:02,45.482174,-73.625656,41,,
T,01/01/2018 2:02,45.482574,-73.626579,42,,
T,01/01/2018 2:02,45.482964,-73.627396,39,,
T,01/01/2018 2:02,45.483334,-73.628189,43,,
T,01/01/2018 2:02,45.483624,-73.628853,40,,
T,01/01/2018 2:02,45.483921,-73.629532,39,,
T,01/01/2018 2:02,45.484215,-73.630257,39,,
T,01/01/2018 2:02,45.484608,-73.631149,39,,
T,01/01/2018 2:02,45.484921,-73.631721,34,,
