typ,time,latitude,longitude,altitude (m),name,desc
T,01/01/2018 2:52,45.548232,-73.636413,36,,
T,01/01/2018 2:52,45.546402,-73.638052,35,,
T,01/01/2018 2:52,45.544771,-73.639465,35,,
T,01/01/2018 2:52,45.543156,-73.640789,39,,
T,01/01/2018 2:52,45.541313,-73.641919,38,,
T,01/01/2018 2:52,45.539558,-73.64311,35,,
T,01/01/2018 2:53,45.537624,-73.644268,33,,
T,01/01/2018 2:53,45.535777,-73.645503,30,,
T,01/01/2018 2:53,45.533855,-73.646808,29,,
T,01/01/2018 2:53,45.532116,-73.64796,30,,
T,01/01/2018 2:53,45.530249,-73.649171,27,,
T,01/01/2018 2:53,45.528597,-73.650718,31,,
T,01/01/2018 2:54,45.526877,-73.651967,43,,
T,01/01/2018 2:54,45.52493,-73.65236,41,,
T,01/01/2018 2:54,45.522984,-73.653272,35,,
T,01/01/2018 2:54,45.521244,-73.654281,38,,
T,01/01/2018 2:54,45.51986,-73.655286,44,,
T,01/01/2018 2:54,45.518122,-73.656266,35,,
T,01/01/2018 2:55,45.516432,-73.657437,33,,
T,01/01/2018 2:55,45.514855,-73.658574,30,,
T,01/01/2018 2:55,45.513202,-73.659579,44,,
T,01/01/2018 2:55,45.511608,-73.660589,32,,
T,01/01/2018 2:55,45.509866,-73.661703,30,,
T,01/01/2018 2:55,45.50851,-73.662445,28,,
T,01/01/2018 2:56,45.507091,-73.6634,41,,
T,01/01/2018 2:56,45.505742,-73.664314,40,,
T,01/01/2018 2:56,45.504563,-73.665154,34,,
T,01/01/2018 2:56,45.503741,-73.665954,33,,
T,01/01/2018 2:56,45.502802,-73.665414,26,,
T,01/01/2018 2:56,45.502091,-73.66423,30,,
T,01/01/2018 2:57,45.50096,-73.66324,38,,
T,01/01/2018 2:57,45.500039,-73.662007,36,,
T,01/01/2018 2:57,45.499365,-73.661033,33,,
T,01/01/2018 2:57,45.498007,-73.658857,36,,
T,01/01/2018 2:57,45.496731,-73.656951,34,,
T,01/01/2018 2:57,45.495524,-73.654999,36,,
T,01/01/2018 2:58,45.494217,-73.652877,46,,
T,01/01/2018 2:58,45.493062,-73.650683,35,,
T,01/01/2018 2:58,45.492171,-73.648414,46,,
T,01/01/2018 2:58,45.491186,-73.646054,41,,
T,01/01/2018 2:58,45.490147,-73.643715,47,,
T,01/01/2018 2:58,45.489043,-73.64121,55,,
T,01/01/2018 2:59,45.487929,-73.63893,48,,
T,01/01/2018 2:59,45.487008,-73.636723,43,,
T,01/01/2018 2:59,45.486032,-73.634562,45,,
T,01/01/2018 2:59,45.485006,-73.632194,49,,
T,01/01/2018 2:59,45.484021,-73.629952,63,,
T,01/01/2018 2:59,45.482991,-73.627705,70,,
T,01/01/2018 3:00,45.481884,-73.625386,70,,
T,01/01/2018 3:00,45.48107,-73.623468,65,,
T,01/01/2018 3:00,45.480043,-73.621483,70,,
T,01/01/2018 3:00,45.478568,-73.619969,79,,
T,01/01/2018 3:00,45.477079,-73.618361,77,,
T,01/01/2018 3:00,45.475946,-73.616539,74,,
T,01/01/2018 3:01,45.474734,-73.614102,64,,
T,01/01/2018 3:01,45.47379,-73.612135,69,,
T,01/01/2018 3:01,45.472915,-73.610281,55,,
T,01/01/2018 3:01,45.472004,-73.608174,60,,
T,01/01/2018 3:01,45.471126,-73.606158,50,,
T,01/01/2018 3:01,45.470307,-73.604287,41,,
T,01/01/2018 3:02,45.469548,-73.60206,24,,
T,01/01/2018 3:02,45.469621,-73.600058,26,,
T,01/01/2018 3:02,45.470186,-73.598364,27,,
T,01/01/2018 3:02,45.471218,-73.597163,28,,
T,01/01/2018 3:02,45.472335,-73.596482,27,,
T,01/01/2018 3:02,45.473726,-73.595977,23,,
T,01/01/2018 3:03,45.47539,-73.595432,27,,
T,01/01/2018 3:03,45.47696,-73.594676,25,,
T,01/01/2018 3:03,45.478567,-73.593264,15,,
T,01/01/2018 3:03,45.47977,-73.59147,15,,
T,01/01/2018 3:03,45.480996,-73.589479,25,,
T,01/01/2018 3:03,45.482175,-73.587653,23,,
T,01/01/2018 3:04,45.483353,-73.585676,31,,
T,01/01/2018 3:04,45.484514,-73.583762,36,,
T,01/01/2018 3:04,45.48563,-73.581928,37,,
T,01/01/2018 3:04,45.486652,-73.580452,27,,
T,01/01/2018 3:04,45.487753,-73.579537,23,,
T,01/01/2018 3:04,45.488649,-73.578282,25,,
T,01/01/2018 3:05,45.489589,-73.577136,35,,
T,01/01/2018 3:05,45.490544,-73.577018,32,,
T,01/01/2018 3:06,45.491099,-73.577488,56,,
T,01/01/2018 3:06,45.491835,-73.576811,62,,
T,01/01/2018 3:06,45.492095,-73.576575,48,,
T,01/01/2018 3:07,45.492671,-73.576022,41,,
T,01/01/2018 3:07,45.493336,-73.575392,38,,
T,01/01/2018 3:08,45.493733,-73.575019,46,,
T,01/01/2018 3:08,45.493448,-73.574217,44,,
T,01/01/2018 3:08,45.492887,-73.57305,39,,
T,01/01/2018 3:09,45.492605,-73.572435,28,,
T,01/01/2018 3:09,45.492102,-73.571397,25,,
T,01/01/2018 3:09,45.491481,-73.57009,20,,
T,01/01/2018 3:09,45.490909,-73.568888,18,,
T,01/01/2018 3:10,45.490299,-73.567612,18,,
T,01/01/2018 3:10,45.490179,-73.567355,20,,
T,01/01/2018 3:10,45.490283,-73.567051,21,,
T,01/01/2018 3:15,45.490359,-73.566984,29,,
