type,time,latitude,longitude,altitude (m),name,desc
T,31/12/2017 21:41,45.508991,-73.561455,7,,
T,31/12/2017 21:41,45.509239,-73.561272,8,,
T,31/12/2017 21:41,45.509529,-73.560982,3,,
T,31/12/2017 21:41,45.509808,-73.56073,2,,
T,31/12/2017 21:41,45.510029,-73.560501,0,,
T,31/12/2017 21:41,45.510345,-73.560211,0,,
T,31/12/2017 21:41,45.510571,-73.559982,4,,
T,31/12/2017 21:41,45.510868,-73.559776,1,,
T,31/12/2017 21:41,45.511055,-73.559616,1,,
T,31/12/2017 21:41,45.511139,-73.559578,4,,
T,31/12/2017 21:41,45.511147,-73.559494,5,,
T,31/12/2017 21:41,45.511112,-73.559433,8,,
T,31/12/2017 21:41,45.511051,-73.559158,7,,
T,31/12/2017 21:41,45.510979,-73.558998,4,,
T,31/12/2017 21:41,45.510929,-73.558708,3,,
T,31/12/2017 21:41,45.51088,-73.558502,1,,
T,31/12/2017 21:41,45.510822,-73.558372,-1,,
T,31/12/2017 21:42,45.510773,-73.558243,0,,
T,31/12/2017 21:42,45.51075,-73.558159,0,,
T,31/12/2017 21:42,45.510696,-73.558098,0,,
T,31/12/2017 21:42,45.510551,-73.557961,-1,,
T,31/12/2017 21:42,45.510445,-73.557716,-5,,
T,31/12/2017 21:42,45.510296,-73.557487,-2,,
T,31/12/2017 21:42,45.510258,-73.557343,-4,,
T,31/12/2017 21:42,45.510212,-73.557289,-9,,
T,31/12/2017 21:42,45.510147,-73.55722,-12,,
T,31/12/2017 21:42,45.510094,-73.557106,-10,,
T,31/12/2017 21:43,45.509945,-73.557106,-8,,
T,31/12/2017 21:43,45.509781,-73.557243,-6,,
T,31/12/2017 21:43,45.509743,-73.557274,-4,,
T,31/12/2017 21:43,45.509693,-73.557297,0,,
T,31/12/2017 21:43,45.509541,-73.557373,-1,,
T,31/12/2017 21:43,45.509277,-73.557495,-1,,
T,31/12/2017 21:43,45.508953,-73.557678,-4,,
T,31/12/2017 21:43,45.508671,-73.557846,-4,,
T,31/12/2017 21:43,45.508495,-73.557968,-4,,
T,31/12/2017 21:43,45.508236,-73.558128,-5,,
T,31/12/2017 21:43,45.507969,-73.558357,-6,,
T,31/12/2017 21:44,45.507763,-73.558571,-7,,
T,31/12/2017 21:44,45.507637,-73.558708,-7,,
T,31/12/2017 21:44,45.507637,-73.558823,-8,,
T,31/12/2017 21:44,45.507729,-73.55912,-8,,
T,31/12/2017 21:44,45.507812,-73.559326,-7,,
T,31/12/2017 21:44,45.5079,-73.55957,-4,,
T,31/12/2017 21:44,45.508087,-73.559998,-7,,
T,31/12/2017 21:44,45.508163,-73.560143,-7,,
T,31/12/2017 21:44,45.508236,-73.560318,-8,,
T,31/12/2017 21:44,45.508274,-73.560471,-5,,
T,31/12/2017 21:44,45.508373,-73.560722,-5,,
T,31/12/2017 21:44,45.508488,-73.560997,-7,,
T,31/12/2017 21:44,45.508495,-73.561081,-7,,
T,31/12/2017 21:45,45.508526,-73.561157,-6,,
T,31/12/2017 21:45,45.508583,-73.561363,-7,,
T,31/12/2017 21:45,45.508751,-73.561607,-6,,
T,31/12/2017 21:45,45.508968,-73.561928,-7,,
T,31/12/2017 21:45,45.509155,-73.562286,-7,,
T,31/12/2017 21:45,45.509277,-73.562607,-5,,
T,31/12/2017 21:45,45.50946,-73.562973,-3,,
T,31/12/2017 21:45,45.509636,-73.563332,-4,,
T,31/12/2017 21:45,45.509739,-73.563553,-5,,
T,31/12/2017 21:45,45.509773,-73.563644,-8,,
T,31/12/2017 21:45,45.509815,-73.56385,-3,,
T,31/12/2017 21:46,45.509945,-73.564133,-2,,
T,31/12/2017 21:46,45.510117,-73.564507,0,,
