typ,time,latitude,longitude,altitude (m),name,desc
T,31/12/2017 21:41,45.51104,-73.559249,38,,
T,31/12/2017 21:41,45.51081,-73.558751,32,,
T,31/12/2017 21:42,45.51059,-73.558273,31,,
T,31/12/2017 21:42,45.510227,-73.557518,23,,
T,31/12/2017 21:42,45.510125,-73.557294,18,,
T,31/12/2017 21:43,45.510012,-73.557058,21,,
T,31/12/2017 21:43,45.509671,-73.557247,21,,
T,31/12/2017 21:43,45.50892,-73.55761,21,,
T,31/12/2017 21:43,45.508191,-73.558122,22,,
T,31/12/2017 21:44,45.507551,-73.558655,24,,
T,31/12/2017 21:44,45.507828,-73.559409,22,,
T,31/12/2017 21:44,45.508185,-73.560227,22,,
T,31/12/2017 21:44,45.508425,-73.560752,25,,
T,31/12/2017 21:45,45.508595,-73.561122,29,,
T,31/12/2017 21:45,45.508851,-73.561673,28,,
T,31/12/2017 21:45,45.509374,-73.562742,28,,
T,31/12/2017 21:45,45.509731,-73.563525,29,,
T,31/12/2017 21:45,45.509852,-73.563789,32,,
T,31/12/2017 21:46,45.510214,-73.564564,30,,
T,31/12/2017 21:46,45.510482,-73.565083,29,,
T,31/12/2017 21:46,45.510641,-73.565413,29,,
T,31/12/2017 21:46,45.511118,-73.566448,29,,
T,31/12/2017 21:46,45.511633,-73.567567,33,,
T,31/12/2017 21:47,45.512189,-73.56877,39,,
T,31/12/2017 21:47,45.512474,-73.569389,45,,
T,31/12/2017 21:47,45.512962,-73.56924,48,,
T,31/12/2017 21:48,45.512809,-73.568744,53,,
T,31/12/2017 21:48,45.512557,-73.568198,52,,
T,31/12/2017 21:48,45.512302,-73.56766,43,,
T,31/12/2017 21:48,45.512117,-73.567271,34,,
T,31/12/2017 21:48,45.511881,-73.56673,31,,
T,31/12/2017 21:49,45.512392,-73.566386,31,,
T,31/12/2017 21:49,45.512958,-73.566208,30,,
T,31/12/2017 21:49,45.513667,-73.565985,31,,
T,31/12/2017 21:49,45.514388,-73.565748,33,,
T,31/12/2017 21:49,45.515151,-73.565496,28,,
T,31/12/2017 21:49,45.515747,-73.565296,32,,
T,31/12/2017 21:50,45.516,-73.565213,32,,
T,31/12/2017 21:50,45.516677,-73.564975,32,,
T,31/12/2017 21:50,45.516859,-73.564355,34,,
T,31/12/2017 21:50,45.516237,-73.563016,38,,
T,31/12/2017 21:51,45.515553,-73.561565,42,,
T,31/12/2017 21:51,45.514971,-73.561407,41,,
T,31/12/2017 21:51,45.51441,-73.561932,44,,
T,31/12/2017 21:51,45.513613,-73.562635,46,,
T,31/12/2017 21:51,45.51351,-73.562865,40,,
T,31/12/2017 21:52,45.513917,-73.56379,37,,
T,31/12/2017 21:52,45.513839,-73.564416,36,,
T,31/12/2017 21:52,45.513571,-73.564045,31,,
T,31/12/2017 21:52,45.513524,-73.56442,30,,
T,31/12/2017 21:53,45.513355,-73.564788,30,,
T,31/12/2017 21:53,45.513143,-73.565377,33,,
T,31/12/2017 21:54,45.513391,-73.565908,26,,
T,31/12/2017 21:54,45.51293,-73.566216,23,,
T,31/12/2017 21:54,45.512965,-73.566651,28,,
T,31/12/2017 21:54,45.513137,-73.567024,30,,
T,31/12/2017 21:54,45.513451,-73.567697,34,,
