type,time,latitude,longitude,altitude (m),name,des
T,30/12/2017 19:47,45.492901,-73.564564,41,,
T,30/12/2017 19:47,45.49308,-73.564654,42,,
T,30/12/2017 19:47,45.493593,-73.56429,42,,
T,30/12/2017 19:48,45.494108,-73.563894,41,,
T,30/12/2017 19:48,45.494198,-73.563529,40,,
T,30/12/2017 19:48,45.493989,-73.562954,39,,
T,30/12/2017 19:48,45.49383,-73.56252,39,,
T,30/12/2017 19:48,45.4937,-73.562161,38,,
T,30/12/2017 19:49,45.493369,-73.562305,39,,
T,30/12/2017 19:49,45.493037,-73.562317,38,,
T,30/12/2017 19:49,45.492885,-73.561913,38,,
T,30/12/2017 19:49,45.492673,-73.56135,38,,
T,30/12/2017 19:49,45.492476,-73.560824,39,,
T,30/12/2017 19:50,45.492634,-73.560484,39,,
T,30/12/2017 19:50,45.492901,-73.560262,39,,
T,30/12/2017 19:50,45.493232,-73.559993,39,,
T,30/12/2017 19:50,45.493525,-73.559782,39,,
T,30/12/2017 19:50,45.493839,-73.559522,39,,
T,30/12/2017 19:51,45.494008,-73.559382,39,,
T,30/12/2017 19:51,45.494427,-73.55909,39,,
T,30/12/2017 19:51,45.494779,-73.558834,39,,
T,30/12/2017 19:52,45.495152,-73.558545,39,,
T,30/12/2017 19:52,45.495036,-73.558102,39,,
T,30/12/2017 19:52,45.494772,-73.557389,39,,
T,30/12/2017 19:52,45.494507,-73.556672,39,,
T,30/12/2017 19:52,45.494106,-73.556886,39,,
T,30/12/2017 19:52,45.49374,-73.557156,39,,
T,30/12/2017 19:53,45.493297,-73.557468,39,,
T,30/12/2017 19:53,45.492699,-73.557886,40,,
T,30/12/2017 19:53,45.491926,-73.55833,40,,
T,30/12/2017 19:53,45.491079,-73.557828,41,,
T,30/12/2017 19:53,45.490423,-73.557475,45,,
T,30/12/2017 19:53,45.489638,-73.557203,45,,
T,30/12/2017 19:54,45.489254,-73.557114,42,,
T,30/12/2017 19:54,45.488457,-73.557128,41,,
T,30/12/2017 19:54,45.487714,-73.557267,40,,
T,30/12/2017 19:54,45.487263,-73.557235,41,,
T,30/12/2017 19:55,45.48722,-73.556365,41,,
T,30/12/2017 19:55,45.487125,-73.555334,42,,
T,30/12/2017 19:55,45.487035,-73.554358,42,,
T,30/12/2017 19:55,45.48694,-73.553386,42,,
T,30/12/2017 19:56,45.486882,-73.552668,42,,
T,30/12/2017 19:56,45.486711,-73.552347,42,,
T,30/12/2017 19:57,45.486201,-73.552465,43,,
T,30/12/2017 19:57,45.486223,-73.553348,43,,
T,30/12/2017 19:57,45.486313,-73.553772,43,,
T,30/12/2017 19:57,45.48638,-73.554192,43,,
T,30/12/2017 19:58,45.486579,-73.5547,43,,
T,30/12/2017 19:58,45.486764,-73.554666,43,,
T,30/12/2017 19:59,45.486964,-73.55463,41,,
T,30/12/2017 19:59,45.486993,-73.55385,42,,
T,30/12/2017 20:00,45.486943,-73.553251,42,,
T,30/12/2017 20:00,45.486911,-73.552963,43,,
T,30/12/2017 20:00,45.486912,-73.55232,43,,
T,30/12/2017 20:01,45.487582,-73.552225,44,,
T,30/12/2017 20:01,45.488376,-73.552045,44,,
T,30/12/2017 20:01,45.488951,-73.551945,43,,
T,30/12/2017 20:01,45.489526,-73.551844,43,,
T,30/12/2017 20:01,45.490139,-73.551745,42,,
T,30/12/2017 20:01,45.490668,-73.551668,42,,
T,30/12/2017 20:02,45.491291,-73.55159,42,,
T,30/12/2017 20:02,45.491919,-73.55149,41,,
T,30/12/2017 20:02,45.492589,-73.551376,40,,
T,30/12/2017 20:02,45.493471,-73.551227,41,,
T,30/12/2017 20:02,45.494456,-73.55107,42,,
T,30/12/2017 20:02,45.495143,-73.550978,42,,
T,30/12/2017 20:03,45.495528,-73.551272,43,,
T,30/12/2017 20:03,45.495997,-73.552235,46,,
T,30/12/2017 20:03,45.496244,-73.552791,41,,
T,30/12/2017 20:03,45.496712,-73.552966,41,,
T,30/12/2017 20:03,45.49741,-73.552911,41,,
T,30/12/2017 20:04,45.498009,-73.552847,41,,
T,30/12/2017 20:04,45.49827,-73.553138,40,,
T,30/12/2017 20:04,45.498523,-73.553827,40,,
T,30/12/2017 20:04,45.498724,-73.554374,40,,
T,30/12/2017 20:04,45.498913,-73.554913,40,,
T,30/12/2017 20:05,45.499136,-73.555067,40,,
T,30/12/2017 20:06,45.499317,-73.554623,41,,
T,30/12/2017 20:06,45.499025,-73.553775,41,,
T,30/12/2017 20:06,45.498764,-73.553016,40,,
T,30/12/2017 20:06,45.499126,-73.552912,41,,
T,30/12/2017 20:07,45.499806,-73.553035,41,,
T,30/12/2017 20:07,45.500429,-73.553437,40,,
T,30/12/2017 20:07,45.500853,-73.553568,40,,
T,30/12/2017 20:07,45.501426,-73.553721,40,,
T,30/12/2017 20:07,45.501867,-73.553794,40,,
T,30/12/2017 20:08,45.502295,-73.553835,40,,
T,30/12/2017 20:08,45.502873,-73.55387,40,,
T,30/12/2017 20:08,45.503464,-73.553847,40,,
T,30/12/2017 20:08,45.504054,-73.553678,40,,
T,30/12/2017 20:08,45.504574,-73.553478,40,,
T,30/12/2017 20:09,45.505087,-73.553284,40,,
T,30/12/2017 20:09,45.505297,-73.553196,40,,
T,30/12/2017 20:09,45.505472,-73.553572,41,,
T,30/12/2017 20:09,45.50557,-73.553884,43,,
T,30/12/2017 20:09,45.505261,-73.553996,44,,
T,30/12/2017 20:10,45.504897,-73.554197,44,,
T,30/12/2017 20:10,45.504492,-73.554411,44,,
T,30/12/2017 20:10,45.504268,-73.554524,43,,
T,30/12/2017 20:10,45.503968,-73.554653,42,,
T,30/12/2017 20:10,45.503574,-73.554824,41,,
T,30/12/2017 20:11,45.503135,-73.555059,41,,
T,30/12/2017 20:11,45.502833,-73.555228,40,,
T,30/12/2017 20:11,45.502452,-73.555442,40,,
T,30/12/2017 20:12,45.502276,-73.555542,40,,
T,30/12/2017 20:12,45.50215,-73.555843,41,,
T,30/12/2017 20:12,45.502258,-73.556258,42,,
T,30/12/2017 20:12,45.502379,-73.556639,43,,
T,30/12/2017 20:13,45.502615,-73.556619,43,,
T,30/12/2017 20:13,45.502935,-73.55626,44,,
T,30/12/2017 20:13,45.503231,-73.556152,45,,
T,30/12/2017 20:13,45.503439,-73.556529,46,,
T,30/12/2017 20:14,45.503686,-73.557004,47,,
T,30/12/2017 20:14,45.503862,-73.557344,48,,
T,30/12/2017 20:15,45.504125,-73.557265,49,,
T,30/12/2017 20:15,45.504417,-73.557054,50,,
T,30/12/2017 20:15,45.504652,-73.556886,50,,
