typ,time,latitude,longitude,altitude (m),name,desc
T,01/01/2018 2:52,45.546108,-73.638268,43,,
T,01/01/2018 2:52,45.544488,-73.639671,43,,
T,01/01/2018 2:52,45.542732,-73.640991,43,,
T,01/01/2018 2:52,45.540989,-73.642114,41,,
T,01/01/2018 2:52,45.539133,-73.64328,38,,
T,01/01/2018 2:53,45.53727,-73.644504,37,,
T,01/01/2018 2:53,45.535373,-73.645716,37,,
T,01/01/2018 2:53,45.533476,-73.646993,38,,
T,01/01/2018 2:53,45.531729,-73.648195,36,,
T,01/01/2018 2:53,45.529893,-73.649404,37,,
T,01/01/2018 2:53,45.528278,-73.65103,37,,
T,01/01/2018 2:54,45.526479,-73.651977,40,,
T,01/01/2018 2:54,45.524561,-73.652396,42,,
T,01/01/2018 2:54,45.522585,-73.653442,44,,
T,01/01/2018 2:54,45.521057,-73.654397,43,,
T,01/01/2018 2:54,45.519569,-73.65534,44,,
T,01/01/2018 2:54,45.517821,-73.656512,42,,
T,01/01/2018 2:55,45.516141,-73.657647,41,,
T,01/01/2018 2:55,45.514536,-73.658718,40,,
T,01/01/2018 2:55,45.51293,-73.659732,40,,
T,01/01/2018 2:55,45.511317,-73.660754,40,,
T,01/01/2018 2:55,45.509626,-73.661824,40,,
T,01/01/2018 2:55,45.508292,-73.662675,39,,
T,01/01/2018 2:56,45.506866,-73.663537,39,,
T,01/01/2018 2:56,45.505489,-73.664368,40,,
T,01/01/2018 2:56,45.50446,-73.665277,41,,
T,01/01/2018 2:56,45.503477,-73.665842,41,,
T,01/01/2018 2:56,45.502648,-73.665114,42,,
T,01/01/2018 2:56,45.501991,-73.664093,44,,
T,01/01/2018 2:57,45.500879,-73.663076,45,,
T,01/01/2018 2:57,45.499927,-73.661966,45,,
T,01/01/2018 2:57,45.499145,-73.660832,43,,
T,01/01/2018 2:57,45.497795,-73.658746,41,,
T,01/01/2018 2:57,45.49655,-73.65675,40,,
T,01/01/2018 2:57,45.495293,-73.654816,47,,
T,01/01/2018 2:58,45.494048,-73.652775,49,,
T,01/01/2018 2:58,45.492941,-73.650449,48,,
T,01/01/2018 2:58,45.492026,-73.648176,52,,
T,01/01/2018 2:58,45.491034,-73.645818,54,,
T,01/01/2018 2:58,45.489983,-73.643469,54,,
T,01/01/2018 2:58,45.488874,-73.641007,49,,
T,01/01/2018 2:59,45.487831,-73.638635,53,,
T,01/01/2018 2:59,45.486898,-73.63648,50,,
T,01/01/2018 2:59,45.485874,-73.634305,44,,
T,01/01/2018 2:59,45.484834,-73.631984,48,,
T,01/01/2018 2:59,45.483854,-73.629801,54,,
T,01/01/2018 2:59,45.482794,-73.627441,58,,
T,01/01/2018 3:00,45.481766,-73.625157,67,,
T,01/01/2018 3:00,45.480932,-73.623308,74,,
T,01/01/2018 3:00,45.47989,-73.621373,75,,
T,01/01/2018 3:00,45.478407,-73.619876,78,,
T,01/01/2018 3:00,45.476906,-73.61819,74,,
T,01/01/2018 3:00,45.475567,-73.615859,74,,
T,01/01/2018 3:01,45.474471,-73.613639,73,,
T,01/01/2018 3:01,45.473607,-73.61174,64,,
T,01/01/2018 3:01,45.47269,-73.609755,60,,
T,01/01/2018 3:01,45.471799,-73.607706,57,,
T,01/01/2018 3:01,45.470918,-73.605759,58,,
T,01/01/2018 3:01,45.470029,-73.603713,49,,
