typ,time,latitude,longitude,altitude (m),name,desc
T,01/01/2018 2:08,45.507464,-73.663022,77,,
T,01/01/2018 2:08,45.509035,-73.662056,77,,
T,01/01/2018 2:08,45.510549,-73.661034,73,,
T,01/01/2018 2:08,45.512063,-73.660168,70,,
T,01/01/2018 2:08,45.513646,-73.659169,72,,
T,01/01/2018 2:08,45.515187,-73.658022,73,,
T,01/01/2018 2:09,45.516653,-73.657026,73,,
T,01/01/2018 2:09,45.518203,-73.656007,75,,
T,01/01/2018 2:09,45.519616,-73.655006,79,,
T,01/01/2018 2:09,45.52109,-73.654112,80,,
T,01/01/2018 2:09,45.522585,-73.653261,76,,
T,01/01/2018 2:09,45.524125,-73.652435,74,,
T,01/01/2018 2:10,45.525694,-73.651793,73,,
T,01/01/2018 2:10,45.527294,-73.65124,73,,
T,01/01/2018 2:10,45.528713,-73.650364,72,,
T,01/01/2018 2:10,45.53003,-73.649067,68,,
T,01/01/2018 2:10,45.531525,-73.648032,65,,
T,01/01/2018 2:10,45.533059,-73.647003,68,,
T,01/01/2018 2:11,45.534741,-73.645876,67,,
T,01/01/2018 2:11,45.536335,-73.644865,67,,
T,01/01/2018 2:11,45.537902,-73.643825,70,,
T,01/01/2018 2:11,45.539416,-73.642874,69,,
T,01/01/2018 2:11,45.540832,-73.641913,71,,
T,01/01/2018 2:11,45.542168,-73.641166,74,,
T,01/01/2018 2:12,45.543448,-73.640237,74,,
T,01/01/2018 2:12,45.544659,-73.639213,74,,
T,01/01/2018 2:12,45.546014,-73.638054,73,,
T,01/01/2018 2:12,45.547373,-73.63695,73,,
T,01/01/2018 2:12,45.548613,-73.635661,74,,
T,01/01/2018 2:12,45.549468,-73.634057,75,,
T,01/01/2018 2:13,45.549397,-73.632574,74,,
T,01/01/2018 2:13,45.549162,-73.631543,71,,
T,01/01/2018 2:13,45.549743,-73.630185,71,,
T,01/01/2018 2:14,45.550158,-73.629503,71,,
T,01/01/2018 2:14,45.549739,-73.628468,74,,
T,01/01/2018 2:14,45.549167,-73.627181,78,,
T,01/01/2018 2:15,45.548468,-73.625604,80,,
T,01/01/2018 2:15,45.547862,-73.624244,82,,
T,01/01/2018 2:15,45.54718,-73.622722,85,,
T,01/01/2018 2:15,45.546538,-73.621265,88,,
T,01/01/2018 2:15,45.54591,-73.619846,89,,
T,01/01/2018 2:15,45.545298,-73.618349,88,,
T,01/01/2018 2:16,45.544734,-73.617089,88,,
T,01/01/2018 2:16,45.544188,-73.615869,87,,
T,01/01/2018 2:18,45.544069,-73.615603,88,,
T,01/01/2018 2:18,45.543627,-73.614602,89,,
T,01/01/2018 2:18,45.542985,-73.613151,90,,
T,01/01/2018 2:19,45.542413,-73.612066,89,,
T,01/01/2018 2:19,45.542061,-73.612367,89,,
T,01/01/2018 2:19,45.541562,-73.612696,89,,
T,01/01/2018 2:19,45.540944,-73.613014,89,,
T,01/01/2018 2:20,45.540827,-73.613471,89,,
T,01/01/2018 2:20,45.541211,-73.614314,89,,
T,01/01/2018 2:20,45.541749,-73.615489,89,,
T,01/01/2018 2:20,45.54218,-73.61642,90,,
T,01/01/2018 2:20,45.542667,-73.617476,89,,
T,01/01/2018 2:21,45.542952,-73.618095,88,,
T,01/01/2018 2:21,45.543423,-73.619122,89,,
T,01/01/2018 2:21,45.543925,-73.620214,89,,
T,01/01/2018 2:21,45.544501,-73.621475,89,,
T,01/01/2018 2:22,45.544913,-73.622787,88,,
T,01/01/2018 2:22,45.54536,-73.62397,88,,
T,01/01/2018 2:22,45.545907,-73.625234,87,,
T,01/01/2018 2:22,45.546402,-73.626359,84,,
T,01/01/2018 2:22,45.546822,-73.627632,82,,
T,01/01/2018 2:22,45.547211,-73.62885,80,,
T,01/01/2018 2:23,45.547614,-73.63012,77,,
T,01/01/2018 2:23,45.547761,-73.63058,75,,
T,01/01/2018 2:23,45.54816,-73.631861,74,,
T,01/01/2018 2:23,45.548611,-73.6333,72,,
T,01/01/2018 2:23,45.549018,-73.634386,68,,
T,01/01/2018 2:24,45.549475,-73.633608,68,,
T,01/01/2018 2:24,45.549969,-73.631746,73,,
T,01/01/2018 2:24,45.550381,-73.629859,78,,
T,01/01/2018 2:24,45.550966,-73.628339,81,,
T,01/01/2018 2:24,45.551909,-73.626577,83,,
T,01/01/2018 2:24,45.552947,-73.624662,85,,
T,01/01/2018 2:25,45.554085,-73.62259,86,,
T,01/01/2018 2:25,45.554981,-73.620459,87,,
T,01/01/2018 2:25,45.555832,-73.618417,87,,
T,01/01/2018 2:25,45.556764,-73.616179,88,,
T,01/01/2018 2:25,45.557736,-73.613875,87,,
T,01/01/2018 2:25,45.558642,-73.611635,88,,
T,01/01/2018 2:26,45.559658,-73.609663,88,,
T,01/01/2018 2:26,45.561002,-73.607978,88,,
T,01/01/2018 2:26,45.562512,-73.606575,88,,
T,01/01/2018 2:26,45.56395,-73.605323,88,,
T,01/01/2018 2:26,45.565382,-73.604073,87,,
T,01/01/2018 2:26,45.566839,-73.602839,88,,
T,01/01/2018 2:27,45.568316,-73.601525,89,,
T,01/01/2018 2:27,45.56981,-73.600221,87,,
T,01/01/2018 2:27,45.571242,-73.59886,86,,
T,01/01/2018 2:27,45.572761,-73.597502,83,,
T,01/01/2018 2:27,45.574277,-73.596102,79,,
T,01/01/2018 2:27,45.575839,-73.594599,79,,
T,01/01/2018 2:28,45.577653,-73.593033,80,,
T,01/01/2018 2:28,45.579353,-73.591541,79,,
T,01/01/2018 2:28,45.581222,-73.589858,81,,
T,01/01/2018 2:28,45.583043,-73.588255,83,,
T,01/01/2018 2:28,45.584919,-73.586562,83,,
T,01/01/2018 2:28,45.586734,-73.58489,79,,
T,01/01/2018 2:29,45.588335,-73.583491,76,,
T,01/01/2018 2:29,45.589843,-73.582014,77,,
T,01/01/2018 2:29,45.591049,-73.580743,77,,
T,01/01/2018 2:29,45.592081,-73.579827,78,,
T,01/01/2018 2:29,45.59326,-73.578161,77,,
T,01/01/2018 2:29,45.594427,-73.576449,74,,
T,01/01/2018 2:30,45.595572,-73.574675,68,,
T,01/01/2018 2:30,45.596793,-73.573068,65,,
T,01/01/2018 2:30,45.598264,-73.571751,64,,
T,01/01/2018 2:30,45.599728,-73.570512,66,,
T,01/01/2018 2:30,45.600451,-73.569589,67,,
T,01/01/2018 2:30,45.599835,-73.568887,69,,
