typ,time,latitude,longitude,altitude (m),name,desc
T,01/01/2018 2:52,45.544417,-73.639784,44.6,,
T,01/01/2018 2:52,45.54378,-73.640327,44.6,,
T,01/01/2018 2:52,45.543065,-73.640822,46.6,,
T,01/01/2018 2:52,45.542193,-73.641384,47.6,,
T,01/01/2018 2:52,45.541312,-73.641942,46.6,,
T,01/01/2018 2:52,45.540611,-73.642376,44.6,,
T,01/01/2018 2:52,45.539674,-73.642963,41.6,,
T,01/01/2018 2:52,45.538755,-73.643558,41.6,,
T,01/01/2018 2:53,45.537843,-73.644148,42.6,,
T,01/01/2018 2:53,45.537077,-73.644639,43.6,,
T,01/01/2018 2:53,45.536318,-73.645124,42.6,,
T,01/01/2018 2:53,45.535351,-73.645749,39.6,,
T,01/01/2018 2:53,45.534566,-73.646254,39.6,,
T,01/01/2018 2:53,45.53382,-73.646746,41.6,,
T,01/01/2018 2:53,45.533116,-73.647242,44.6,,
T,01/01/2018 2:53,45.532245,-73.647842,43.6,,
T,01/01/2018 2:53,45.53151,-73.648318,40.6,,
T,01/01/2018 2:53,45.530749,-73.648788,38.6,,
T,01/01/2018 2:53,45.529864,-73.649423,40.6,,
T,01/01/2018 2:53,45.529221,-73.650082,42.6,,
T,01/01/2018 2:53,45.528398,-73.650902,44.6,,
T,01/01/2018 2:54,45.527558,-73.651577,44.6,,
T,01/01/2018 2:54,45.526831,-73.651873,46.6,,
T,01/01/2018 2:54,45.525876,-73.65207,45.6,,
T,01/01/2018 2:54,45.525108,-73.652242,46.6,,
T,01/01/2018 2:54,45.524366,-73.652513,46.6,,
T,01/01/2018 2:54,45.523373,-73.652988,47.6,,
T,01/01/2018 2:54,45.522424,-73.653526,47.6,,
T,01/01/2018 2:54,45.521736,-73.653961,48.6,,
T,01/01/2018 2:54,45.521151,-73.654328,50.6,,
T,01/01/2018 2:54,45.520597,-73.654688,53.7,,
T,01/01/2018 2:54,45.519992,-73.655078,52.7,,
T,01/01/2018 2:54,45.519153,-73.655614,51.7,,
T,01/01/2018 2:54,45.518433,-73.656092,49.7,,
T,01/01/2018 2:54,45.517559,-73.656671,47.7,,
T,01/01/2018 2:55,45.516903,-73.657117,47.7,,
T,01/01/2018 2:55,45.516076,-73.657672,45.7,,
T,01/01/2018 2:55,45.515419,-73.658125,43.7,,
T,01/01/2018 2:55,45.514777,-73.658549,44.7,,
T,01/01/2018 2:55,45.513973,-73.659065,42.7,,
T,01/01/2018 2:55,45.51334,-73.659464,42.7,,
T,01/01/2018 2:55,45.512539,-73.659962,41.7,,
T,01/01/2018 2:55,45.511902,-73.660372,40.7,,
T,01/01/2018 2:55,45.511262,-73.660786,39.7,,
T,01/01/2018 2:55,45.510357,-73.661359,39.7,,
T,01/01/2018 2:55,45.509702,-73.661773,42.7,,
T,01/01/2018 2:55,45.509014,-73.662196,44.7,,
T,01/01/2018 2:55,45.508491,-73.662529,45.7,,
T,01/01/2018 2:55,45.507814,-73.662971,47.7,,
T,01/01/2018 2:56,45.507083,-73.663415,46.7,,
T,01/01/2018 2:56,45.506512,-73.663749,47.7,,
T,01/01/2018 2:56,45.505831,-73.664161,47.7,,
T,01/01/2018 2:56,45.505302,-73.6645,46.7,,
T,01/01/2018 2:56,45.504738,-73.664915,47.7,,
T,01/01/2018 2:56,45.504398,-73.665338,48.7,,
T,01/01/2018 2:56,45.503957,-73.665741,47.7,,
T,01/01/2018 2:56,45.503558,-73.665852,43.7,,
T,01/01/2018 2:56,45.503079,-73.665666,41.7,,
T,01/01/2018 2:56,45.502778,-73.665329,41.7,,
T,01/01/2018 2:56,45.502569,-73.664848,41.7,,
T,01/01/2018 2:56,45.502319,-73.664413,41.7,,
T,01/01/2018 2:56,45.501986,-73.664044,40.7,,
T,01/01/2018 2:57,45.501568,-73.663668,40.7,,
T,01/01/2018 2:57,45.501005,-73.663131,40.7,,
T,01/01/2018 2:57,45.500443,-73.662521,40.7,,
T,01/01/2018 2:57,45.500131,-73.662147,42.6,,
T,01/01/2018 2:57,45.499864,-73.661849,42.6,,
T,01/01/2018 2:57,45.499595,-73.661491,41.6,,
T,01/01/2018 2:57,45.499198,-73.660864,38.6,,
T,01/01/2018 2:57,45.498528,-73.659817,34.6,,
T,01/01/2018 2:57,45.49798,-73.658953,34.6,,
T,01/01/2018 2:57,45.497454,-73.658109,35.6,,
T,01/01/2018 2:57,45.496956,-73.657314,38.6,,
T,01/01/2018 2:57,45.496344,-73.656317,37.6,,
T,01/01/2018 2:57,45.495747,-73.655393,39.6,,
T,01/01/2018 2:57,45.495261,-73.6546,39.6,,
T,01/01/2018 2:58,45.494625,-73.653609,39.6,,
T,01/01/2018 2:58,45.494088,-73.652746,43.6,,
T,01/01/2018 2:58,45.49347,-73.651571,43.6,,
T,01/01/2018 2:58,45.493056,-73.650637,43.6,,
T,01/01/2018 2:58,45.492686,-73.649769,43.6,,
T,01/01/2018 2:58,45.492317,-73.648886,44.6,,
T,01/01/2018 2:58,45.491858,-73.647723,44.6,,
T,01/01/2018 2:58,45.491367,-73.646534,46.6,,
T,01/01/2018 2:58,45.490838,-73.645353,45.6,,
T,01/01/2018 2:58,45.490333,-73.644214,43.6,,
T,01/01/2018 2:58,45.489777,-73.642991,45.5,,
T,01/01/2018 2:58,45.489336,-73.641977,45.5,,
T,01/01/2018 2:58,45.488803,-73.640766,47.5,,
T,01/01/2018 2:59,45.488376,-73.639823,47.5,,
T,01/01/2018 2:59,45.487965,-73.638888,48.5,,
T,01/01/2018 2:59,45.487453,-73.637745,49.5,,
T,01/01/2018 2:59,45.486987,-73.6367,47.5,,
T,01/01/2018 2:59,45.486492,-73.635597,46.5,,
T,01/01/2018 2:59,45.48611,-73.634722,46.5,,
T,01/01/2018 2:59,45.485699,-73.633862,50.5,,
T,01/01/2018 2:59,45.485171,-73.632644,50.5,,
T,01/01/2018 2:59,45.484666,-73.631523,53.5,,
T,01/01/2018 2:59,45.484262,-73.630619,56.5,,
T,01/01/2018 2:59,45.48388,-73.629749,57.5,,
T,01/01/2018 2:59,45.483481,-73.628863,56.5,,
T,01/01/2018 2:59,45.482932,-73.627701,60.5,,
T,01/01/2018 3:00,45.482508,-73.626753,63.5,,
T,01/01/2018 3:00,45.481981,-73.625595,62.5,,
T,01/01/2018 3:00,45.481514,-73.624554,66.5,,
T,01/01/2018 3:00,45.481193,-73.623801,67.5,,
T,01/01/2018 3:00,45.480803,-73.622842,69.5,,
T,01/01/2018 3:00,45.480416,-73.622041,68.4,,
T,01/01/2018 3:00,45.479942,-73.621274,70.4,,
T,01/01/2018 3:00,45.479395,-73.620612,72.4,,
T,01/01/2018 3:00,45.478615,-73.619904,76.4,,
T,01/01/2018 3:00,45.477968,-73.619356,74.4,,
T,01/01/2018 3:00,45.477197,-73.618551,72.4,,
T,01/01/2018 3:00,45.476784,-73.617987,71.4,,
T,01/01/2018 3:01,45.476784,-73.617987,71.4,,
T,01/01/2018 3:01,45.474598,-73.613895,66.4,,
T,01/01/2018 3:01,45.474235,-73.613083,60.4,,
T,01/01/2018 3:01,45.473828,-73.612131,55.4,,
T,01/01/2018 3:01,45.473498,-73.611403,51.4,,
T,01/01/2018 3:01,45.473052,-73.61045,50.4,,
T,01/01/2018 3:01,45.472639,-73.609568,46.4,,
T,01/01/2018 3:01,45.472277,-73.608733,44.4,,
T,01/01/2018 3:01,45.471833,-73.607735,43.4,,
T,01/01/2018 3:01,45.471455,-73.60697,39.4,,
T,01/01/2018 3:01,45.471139,-73.606144,39.4,,
T,01/01/2018 3:01,45.470814,-73.605431,38.4,,
T,01/01/2018 3:01,45.470352,-73.604409,36.4,,
T,01/01/2018 3:01,45.469987,-73.603562,33.4,,
T,01/01/2018 3:02,45.46963,-73.602478,30.4,,
T,01/01/2018 3:02,45.4695,-73.601466,29.4,,
T,01/01/2018 3:02,45.469519,-73.60067,27.4,,
T,01/01/2018 3:02,45.469704,-73.599741,25.4,,
T,01/01/2018 3:02,45.469924,-73.599054,25.3,,
T,01/01/2018 3:02,45.470271,-73.598351,24.3,,
T,01/01/2018 3:02,45.470715,-73.597846,25.3,,
T,01/01/2018 3:02,45.471067,-73.597511,23.3,,
T,01/01/2018 3:02,45.471622,-73.596946,24.3,,
T,01/01/2018 3:02,45.472234,-73.596609,27.3,,
T,01/01/2018 3:02,45.472749,-73.596402,28.3,,
T,01/01/2018 3:02,45.473294,-73.596199,29.3,,
T,01/01/2018 3:02,45.474051,-73.595933,29.3,,
T,01/01/2018 3:03,45.474672,-73.595701,29.3,,
T,01/01/2018 3:03,45.475311,-73.595451,29.3,,
T,01/01/2018 3:03,45.476122,-73.595091,30.3,,
T,01/01/2018 3:03,45.476772,-73.594765,31.3,,
T,01/01/2018 3:03,45.477417,-73.594298,29.3,,
T,01/01/2018 3:03,45.478048,-73.59375,31.3,,
T,01/01/2018 3:03,45.478634,-73.593072,28.3,,
T,01/01/2018 3:03,45.479136,-73.592313,30.3,,
T,01/01/2018 3:03,45.479739,-73.591367,29.3,,
T,01/01/2018 3:03,45.480246,-73.590626,30.3,,
T,01/01/2018 3:03,45.480879,-73.589732,30.3,,
T,01/01/2018 3:03,45.481338,-73.589019,31.3,,
T,01/01/2018 3:03,45.481802,-73.588252,34.3,,
T,01/01/2018 3:03,45.482411,-73.587285,37.3,,
T,01/01/2018 3:04,45.482898,-73.586506,37.3,,
T,01/01/2018 3:04,45.483489,-73.585538,39.3,,
T,01/01/2018 3:04,45.483968,-73.584747,40.3,,
T,01/01/2018 3:04,45.48455,-73.583793,41.3,,
T,01/01/2018 3:04,45.484994,-73.583048,42.3,,
T,01/01/2018 3:04,45.485519,-73.58216,40.3,,
T,01/01/2018 3:04,45.486046,-73.581279,39.3,,
