type,time,latitude,longitude,altitude (m),name,des
T,30/12/2017 20:16,45.504922,-73.556868,45.2,,
T,30/12/2017 20:16,45.504906,-73.556766,50.2,,
T,30/12/2017 20:16,45.50475,-73.556691,51.2,,
T,30/12/2017 20:16,45.50476,-73.556608,58.2,,
T,30/12/2017 20:16,45.504623,-73.556251,60.2,,
T,30/12/2017 20:16,45.504651,-73.556081,58.2,,
T,30/12/2017 20:16,45.504536,-73.555961,59.2,,
T,30/12/2017 20:16,45.504566,-73.555844,59.2,,
T,30/12/2017 20:16,45.504582,-73.555721,49.2,,
T,30/12/2017 20:16,45.504697,-73.555713,52.2,,
T,30/12/2017 20:17,45.504642,-73.555628,50.2,,
T,30/12/2017 20:17,45.504677,-73.555531,47.2,,
T,30/12/2017 20:17,45.504573,-73.555373,50.2,,
T,30/12/2017 20:17,45.504549,-73.555251,45.2,,
T,30/12/2017 20:17,45.504526,-73.55514,38.2,,
T,30/12/2017 20:17,45.504495,-73.55503,37.2,,
T,30/12/2017 20:17,45.504511,-73.554911,38.2,,
T,30/12/2017 20:17,45.504471,-73.554789,37.2,,
T,30/12/2017 20:17,45.504471,-73.554666,39.2,,
T,30/12/2017 20:17,45.50441,-73.554573,37.2,,
T,30/12/2017 20:17,45.504301,-73.554578,32.2,,
T,30/12/2017 20:18,45.504038,-73.55467,29.2,,
T,30/12/2017 20:18,45.503719,-73.554812,30.2,,
T,30/12/2017 20:18,45.503627,-73.554826,24.2,,
T,30/12/2017 20:18,45.503534,-73.554871,24.2,,
T,30/12/2017 20:18,45.50338,-73.554909,28.2,,
T,30/12/2017 20:18,45.503312,-73.554884,26.2,,
T,30/12/2017 20:18,45.503198,-73.554596,26.2,,
T,30/12/2017 20:18,45.503106,-73.554379,23.2,,
T,30/12/2017 20:18,45.503067,-73.554275,23.2,,
T,30/12/2017 20:18,45.502948,-73.554326,21.2,,
T,30/12/2017 20:18,45.502803,-73.554462,19.2,,
T,30/12/2017 20:18,45.502635,-73.554613,16.2,,
T,30/12/2017 20:19,45.502519,-73.554713,17.2,,
T,30/12/2017 20:19,45.502516,-73.554826,15.2,,
T,30/12/2017 20:19,45.50257,-73.554968,15.2,,
T,30/12/2017 20:19,45.50265,-73.555145,14.2,,
T,30/12/2017 20:19,45.502705,-73.555236,15.2,,
T,30/12/2017 20:19,45.502754,-73.555335,14.2,,
T,30/12/2017 20:19,45.502822,-73.555507,13.2,,
T,30/12/2017 20:19,45.502926,-73.555686,15.2,,
T,30/12/2017 20:19,45.502994,-73.555837,13.2,,
T,30/12/2017 20:19,45.503124,-73.556072,14.2,,
T,30/12/2017 20:19,45.503229,-73.556311,13.2,,
T,30/12/2017 20:19,45.503335,-73.556536,12.2,,
T,30/12/2017 20:19,45.503464,-73.556756,16.2,,
T,30/12/2017 20:19,45.503635,-73.557029,18.2,,
T,30/12/2017 20:20,45.503733,-73.557221,20.2,,
