type,time,latitude,longitude,altitude (m),name,des
T,30/12/2017 21:02,45.501409,-73.559399,20.2,,
T,30/12/2017 21:03,45.501551,-73.559346,21.2,,
T,30/12/2017 21:03,45.501606,-73.559296,23.2,,
T,30/12/2017 21:03,45.501774,-73.559166,23.2,,
T,30/12/2017 21:03,45.502009,-73.55899,24.2,,
T,30/12/2017 21:03,45.502257,-73.558821,24.2,,
T,30/12/2017 21:03,45.502382,-73.558736,21.2,,
T,30/12/2017 21:03,45.502602,-73.55859,22.2,,
T,30/12/2017 21:03,45.502758,-73.558464,23.2,,
T,30/12/2017 21:03,45.502912,-73.558375,21.2,,
T,30/12/2017 21:03,45.503113,-73.558165,19.2,,
T,30/12/2017 21:03,45.503315,-73.557991,21.2,,
T,30/12/2017 21:03,45.503603,-73.557771,23.2,,
T,30/12/2017 21:03,45.503753,-73.557642,23.2,,
T,30/12/2017 21:03,45.503831,-73.557571,24.2,,
T,30/12/2017 21:04,45.503978,-73.557446,25.2,,
T,30/12/2017 21:04,45.504135,-73.557319,27.2,,
T,30/12/2017 21:04,45.504242,-73.557238,27.2,,
T,30/12/2017 21:04,45.504326,-73.557196,28.2,,
T,30/12/2017 21:04,45.504401,-73.557155,29.2,,
T,30/12/2017 21:04,45.504467,-73.557238,29.2,,
T,30/12/2017 21:04,45.504523,-73.557342,29.2,,
T,30/12/2017 21:05,45.504578,-73.557481,30.2,,
T,30/12/2017 21:05,45.504612,-73.557567,30.2,,
T,30/12/2017 21:07,45.504641,-73.557652,35.2,,
T,30/12/2017 21:07,45.504594,-73.557807,35.2,,
T,30/12/2017 21:07,45.504399,-73.557971,33.2,,
T,30/12/2017 21:07,45.504332,-73.55802,36.2,,
T,30/12/2017 21:07,45.504181,-73.558164,32.2,,
T,30/12/2017 21:07,45.503951,-73.558359,31.2,,
T,30/12/2017 21:07,45.503745,-73.558531,32.2,,
T,30/12/2017 21:07,45.503596,-73.558658,34.2,,
T,30/12/2017 21:07,45.503513,-73.55862,35.2,,
T,30/12/2017 21:07,45.503389,-73.558437,28.2,,
T,30/12/2017 21:07,45.503271,-73.558229,28.2,,
T,30/12/2017 21:08,45.503182,-73.558128,26.2,,
T,30/12/2017 21:08,45.503079,-73.55804,24.2,,
T,30/12/2017 21:08,45.502942,-73.557839,22.2,,
T,30/12/2017 21:08,45.502867,-73.557738,21.2,,
T,30/12/2017 21:08,45.502851,-73.557635,21.2,,
T,30/12/2017 21:08,45.502947,-73.557462,22.2,,
T,30/12/2017 21:08,45.503054,-73.55729,20.2,,
T,30/12/2017 21:08,45.503009,-73.557208,23.2,,
T,30/12/2017 21:08,45.502927,-73.557081,22.2,,
T,30/12/2017 21:09,45.502816,-73.556837,21.2,,
T,30/12/2017 21:09,45.502768,-73.556715,20.2,,
