type,time,latitude,longitude,altitude (m),name,desc
T,31/12/2017 21:14,45.506681,-73.579579,75,,
T,31/12/2017 21:14,45.507083,-73.580447,85,,
T,31/12/2017 21:14,45.508002,-73.580227,81,,
T,31/12/2017 21:14,45.508936,-73.579705,73,,
T,31/12/2017 21:14,45.509774,-73.579066,68,,
T,31/12/2017 21:15,45.510423,-73.57845,61,,
T,31/12/2017 21:15,45.510996,-73.578169,58,,
T,31/12/2017 21:15,45.511435,-73.577882,56,,
T,31/12/2017 21:15,45.510924,-73.57679,55,,
T,31/12/2017 21:15,45.510627,-73.576147,53,,
T,31/12/2017 21:15,45.510335,-73.575504,53,,
T,31/12/2017 21:17,45.510226,-73.575252,53,,
T,31/12/2017 21:17,45.509935,-73.574621,53,,
T,31/12/2017 21:17,45.50962,-73.573941,53,,
T,31/12/2017 21:18,45.509502,-73.573706,52,,
T,31/12/2017 21:18,45.509058,-73.574085,53,,
T,31/12/2017 21:18,45.508727,-73.574304,53,,
T,31/12/2017 21:18,45.508335,-73.574643,52,,
T,31/12/2017 21:18,45.508097,-73.574861,52,,
T,31/12/2017 21:19,45.50768,-73.57524,52,,
T,31/12/2017 21:19,45.507368,-73.575551,52,,
T,31/12/2017 21:19,45.50714,-73.57592,52,,
T,31/12/2017 21:19,45.507434,-73.576523,52,,
T,31/12/2017 21:19,45.507732,-73.577135,52,,
T,31/12/2017 21:19,45.508069,-73.577828,54,,
T,31/12/2017 21:20,45.508406,-73.57767,54,,
T,31/12/2017 21:20,45.508888,-73.577193,53,,
T,31/12/2017 21:20,45.509141,-73.576949,53,,
T,31/12/2017 21:20,45.509633,-73.576431,53,,
T,31/12/2017 21:20,45.509631,-73.575844,53,,
T,31/12/2017 21:21,45.509228,-73.574965,53,,
T,31/12/2017 21:21,45.508959,-73.574379,52,,
T,31/12/2017 21:21,45.508541,-73.573504,52,,
T,31/12/2017 21:21,45.508113,-73.572596,52,,
T,31/12/2017 21:21,45.507786,-73.571922,50,,
T,31/12/2017 21:22,45.508068,-73.571454,49,,
T,31/12/2017 21:22,45.508249,-73.57135,48,,
T,31/12/2017 21:22,45.508075,-73.570664,47,,
T,31/12/2017 21:23,45.507722,-73.569954,42,,
T,31/12/2017 21:23,45.507593,-73.569682,41,,
T,31/12/2017 21:23,45.507212,-73.569788,41,,
T,31/12/2017 21:23,45.506715,-73.570282,42,,
T,31/12/2017 21:23,45.506261,-73.570735,42,,
T,31/12/2017 21:24,45.50571,-73.57127,42,,
T,31/12/2017 21:24,45.505597,-73.571477,43,,
T,31/12/2017 21:25,45.505915,-73.572175,46,,
T,31/12/2017 21:25,45.50594,-73.57274,50,,
T,31/12/2017 21:25,45.505471,-73.572754,49,,
T,31/12/2017 21:25,45.50513,-73.572052,46,,
T,31/12/2017 21:25,45.504995,-73.571779,44,,
T,31/12/2017 21:26,45.504675,-73.57114,42,,
T,31/12/2017 21:27,45.50449,-73.571233,42,,
T,31/12/2017 21:27,45.504318,-73.571392,42,,
T,31/12/2017 21:27,45.504123,-73.571573,43,,
T,31/12/2017 21:28,45.503294,-73.57236,43,,
T,31/12/2017 21:28,45.50301,-73.57263,43,,
T,31/12/2017 21:28,45.502664,-73.572744,43,,
T,31/12/2017 21:28,45.502326,-73.572038,42,,
T,31/12/2017 21:29,45.502058,-73.571513,41,,
T,31/12/2017 21:29,45.501937,-73.571277,40,,
T,31/12/2017 21:29,45.501574,-73.57055,39,,
T,31/12/2017 21:29,45.501547,-73.570183,38,,
T,31/12/2017 21:30,45.502385,-73.56937,39,,
T,31/12/2017 21:30,45.502663,-73.569105,39,,
T,31/12/2017 21:31,45.503079,-73.56871,40,,
T,31/12/2017 21:31,45.50353,-73.568284,40,,
T,31/12/2017 21:31,45.503689,-73.567842,40,,
T,31/12/2017 21:31,45.503264,-73.566971,40,,
T,31/12/2017 21:31,45.50315,-73.566743,40,,
T,31/12/2017 21:32,45.502805,-73.565834,39,,
T,31/12/2017 21:32,45.50256,-73.565302,37,,
T,31/12/2017 21:32,45.502441,-73.565047,36,,
T,31/12/2017 21:32,45.502145,-73.564274,31,,
T,31/12/2017 21:33,45.501329,-73.564909,31,,
T,31/12/2017 21:34,45.50103,-73.565143,29,,
T,31/12/2017 21:34,45.501095,-73.565557,32,,
T,31/12/2017 21:34,45.501288,-73.565919,38,,
T,31/12/2017 21:35,45.501763,-73.566872,40,,
T,31/12/2017 21:35,45.502075,-73.567106,40,,
T,31/12/2017 21:36,45.502249,-73.566941,40,,
T,31/12/2017 21:36,45.50316,-73.566223,39,,
T,31/12/2017 21:36,45.504136,-73.565451,38,,
T,31/12/2017 21:36,45.504991,-73.564766,32,,
T,31/12/2017 21:37,45.505155,-73.564633,29,,
T,31/12/2017 21:37,45.505956,-73.564008,28,,
