typ,time,latitude,longitude,altitude (m),name,desc
T,30/12/2017 21:00,45.501465,-73.559113,-16,,
T,30/12/2017 21:00,45.501446,-73.559174,-20,,
T,30/12/2017 21:00,45.501389,-73.55957,-16,,
T,30/12/2017 21:00,45.501389,-73.559662,-16,,
T,30/12/2017 21:00,45.501431,-73.559601,-16,,
T,30/12/2017 21:00,45.501442,-73.559471,-15,,
T,30/12/2017 21:00,45.501476,-73.559303,-19,,
T,30/12/2017 21:00,45.501423,-73.55925,-16,,
T,30/12/2017 21:00,45.50135,-73.559174,-18,,
T,30/12/2017 21:00,45.501389,-73.559135,-26,,
T,30/12/2017 21:00,45.501427,-73.559174,-23,,
T,30/12/2017 21:01,45.501423,-73.559235,-20,,
T,30/12/2017 21:01,45.501381,-73.559265,-12,,
T,30/12/2017 21:02,45.501396,-73.559349,-15,,
T,30/12/2017 21:03,45.501484,-73.55928,-16,,
T,30/12/2017 21:03,45.501606,-73.559212,-11,,
T,30/12/2017 21:03,45.501656,-73.559166,-10,,
T,30/12/2017 21:03,45.501797,-73.559044,-7,,
T,30/12/2017 21:03,45.502064,-73.558868,-9,,
T,30/12/2017 21:03,45.502312,-73.558723,-11,,
T,30/12/2017 21:03,45.502384,-73.558609,-12,,
T,30/12/2017 21:03,45.50248,-73.558479,-12,,
T,30/12/2017 21:03,45.502628,-73.558395,-9,,
T,30/12/2017 21:03,45.5028,-73.558266,-8,,
T,30/12/2017 21:03,45.502987,-73.558182,-14,,
T,30/12/2017 21:03,45.503109,-73.558067,-14,,
T,30/12/2017 21:03,45.503296,-73.557915,-12,,
T,30/12/2017 21:03,45.503475,-73.557777,-11,,
T,30/12/2017 21:03,45.503662,-73.557617,-11,,
T,30/12/2017 21:03,45.503826,-73.557564,-9,,
T,30/12/2017 21:03,45.503914,-73.557526,-8,,
T,30/12/2017 21:04,45.50396,-73.557465,-5,,
T,30/12/2017 21:04,45.504154,-73.557327,-4,,
T,30/12/2017 21:04,45.504208,-73.557243,-1,,
T,30/12/2017 21:04,45.504189,-73.557129,3,,
T,30/12/2017 21:04,45.50425,-73.557129,10,,
T,30/12/2017 21:04,45.504295,-73.557144,6,,
T,30/12/2017 21:04,45.504383,-73.557175,5,,
T,30/12/2017 21:04,45.504456,-73.557236,4,,
T,30/12/2017 21:04,45.504498,-73.557304,4,,
T,30/12/2017 21:05,45.504555,-73.557388,3,,
T,30/12/2017 21:05,45.504585,-73.557487,4,,
T,30/12/2017 21:05,45.504623,-73.557556,4,,
T,30/12/2017 21:05,45.504589,-73.557594,7,,
T,30/12/2017 21:05,45.504612,-73.557518,15,,
T,30/12/2017 21:05,45.504665,-73.557625,20,,
T,30/12/2017 21:05,45.504734,-73.557625,28,,
T,30/12/2017 21:06,45.504776,-73.557602,35,,
T,30/12/2017 21:07,45.504784,-73.557663,36,,
T,30/12/2017 21:07,45.504768,-73.557747,33,,
T,30/12/2017 21:07,45.504547,-73.557808,27,,
T,30/12/2017 21:07,45.504395,-73.557915,24,,
T,30/12/2017 21:07,45.504353,-73.557968,17,,
T,30/12/2017 21:07,45.50428,-73.558014,6,,
T,30/12/2017 21:07,45.504105,-73.558212,7,,
T,30/12/2017 21:07,45.503803,-73.558434,9,,
T,30/12/2017 21:07,45.503616,-73.558586,9,,
T,30/12/2017 21:07,45.503529,-73.55867,8,,
T,30/12/2017 21:07,45.503235,-73.558716,7,,
T,30/12/2017 21:07,45.503208,-73.558495,1,,
T,30/12/2017 21:07,45.503036,-73.558334,-5,,
T,30/12/2017 21:08,45.503014,-73.55825,-6,,
T,30/12/2017 21:08,45.502926,-73.558037,-10,,
T,30/12/2017 21:08,45.50285,-73.557907,-10,,
T,30/12/2017 21:08,45.502777,-73.557785,-12,,
T,30/12/2017 21:08,45.502808,-73.557648,-7,,
T,30/12/2017 21:08,45.502987,-73.557426,-8,,
T,30/12/2017 21:08,45.502998,-73.557343,-6,,
T,30/12/2017 21:08,45.503052,-73.557281,-6,,
T,30/12/2017 21:08,45.503071,-73.557228,-6,,
T,30/12/2017 21:08,45.503029,-73.557251,-9,,
T,30/12/2017 21:08,45.502991,-73.557297,-9,,
T,30/12/2017 21:08,45.502983,-73.557182,-7,,
T,30/12/2017 21:08,45.502918,-73.557083,-8,,
T,30/12/2017 21:09,45.502834,-73.556892,-10,,
T,30/12/2017 21:09,45.502743,-73.556778,-12,,
T,30/12/2017 21:09,45.502708,-73.556694,-11,,
T,30/12/2017 21:09,45.502747,-73.556602,-9,,
T,30/12/2017 21:09,45.502823,-73.556496,-9,,
T,30/12/2017 21:09,45.50285,-73.556435,-10,,
T,30/12/2017 21:09,45.5028,-73.556328,-11,,
T,30/12/2017 21:09,45.502743,-73.556183,-12,,
T,30/12/2017 21:09,45.502712,-73.556107,-11,,
T,30/12/2017 21:09,45.502735,-73.556046,-11,,
T,30/12/2017 21:09,45.502777,-73.555984,-10,,
T,30/12/2017 21:09,45.502827,-73.555939,-4,,
T,30/12/2017 21:09,45.502914,-73.555885,-3,,
T,30/12/2017 21:09,45.502983,-73.555801,-2,,
T,30/12/2017 21:10,45.503063,-73.555779,-2,,
T,30/12/2017 21:10,45.503159,-73.555923,-2,,
T,30/12/2017 21:10,45.503235,-73.556046,-4,,
T,30/12/2017 21:10,45.503307,-73.556213,-3,,
T,30/12/2017 21:10,45.503448,-73.55645,-2,,
T,30/12/2017 21:10,45.50354,-73.556572,-4,,
T,30/12/2017 21:10,45.503647,-73.556755,-6,,
T,30/12/2017 21:10,45.503746,-73.557068,-5,,
T,30/12/2017 21:10,45.503857,-73.557198,-6,,
T,30/12/2017 21:10,45.503815,-73.557228,-2,,
T,30/12/2017 21:10,45.50391,-73.557373,2,,
T,30/12/2017 21:11,45.504009,-73.557404,0,,
T,30/12/2017 21:11,45.504284,-73.557312,1,,
