type,time,latitude,longitude,altitude (m),name,desc
T,31/12/2017 22:10,45.52573,-73.559097,29,,
T,31/12/2017 22:10,45.52521,-73.55802,27,,
T,31/12/2017 22:10,45.52492,-73.55695,27,,
T,31/12/2017 22:10,45.525357,-73.556116,27,,
T,31/12/2017 22:10,45.525792,-73.554967,27,,
T,31/12/2017 22:10,45.525291,-73.553401,30,,
T,31/12/2017 22:11,45.524789,-73.551573,36,,
T,31/12/2017 22:11,45.524114,-73.549916,43,,
T,31/12/2017 22:11,45.523374,-73.548366,50,,
T,31/12/2017 22:11,45.522696,-73.546744,57,,
T,31/12/2017 22:11,45.522333,-73.544831,62,,
T,31/12/2017 22:11,45.521993,-73.542937,67,,
T,31/12/2017 22:12,45.521657,-73.541053,67,,
T,31/12/2017 22:12,45.521264,-73.538869,64,,
T,31/12/2017 22:12,45.520905,-73.536606,55,,
T,31/12/2017 22:12,45.520652,-73.534253,50,,
T,31/12/2017 22:12,45.520902,-73.532102,48,,
T,31/12/2017 22:12,45.52111,-73.529641,46,,
T,31/12/2017 22:13,45.52126,-73.527533,50,,
T,31/12/2017 22:13,45.521431,-73.525601,56,,
T,31/12/2017 22:13,45.521631,-73.523478,54,,
T,31/12/2017 22:13,45.521836,-73.521057,46,,
T,31/12/2017 22:13,45.521972,-73.518855,37,,
T,31/12/2017 22:13,45.521907,-73.5176,32,,
T,31/12/2017 22:14,45.52226,-73.517617,31,,
T,31/12/2017 22:14,45.522255,-73.518162,32,,
T,31/12/2017 22:14,45.522034,-73.519247,33,,
T,31/12/2017 22:14,45.521865,-73.521015,40,,
T,31/12/2017 22:14,45.521698,-73.522809,46,,
T,31/12/2017 22:14,45.521489,-73.524896,54,,
T,31/12/2017 22:15,45.521332,-73.526866,57,,
T,31/12/2017 22:15,45.521159,-73.528931,53,,
T,31/12/2017 22:15,45.520986,-73.53121,48,,
T,31/12/2017 22:15,45.520846,-73.533604,49,,
T,31/12/2017 22:15,45.520735,-73.535803,51,,
T,31/12/2017 22:15,45.521143,-73.538026,55,,
T,31/12/2017 22:16,45.521512,-73.540207,62,,
T,31/12/2017 22:16,45.521878,-73.54223,69,,
T,31/12/2017 22:16,45.522227,-73.54429,69,,
T,31/12/2017 22:16,45.522665,-73.546547,64,,
T,31/12/2017 22:16,45.523473,-73.548501,59,,
T,31/12/2017 22:16,45.524332,-73.550368,51,,
T,31/12/2017 22:17,45.524931,-73.55211,42,,
T,31/12/2017 22:17,45.525356,-73.553714,35,,
T,31/12/2017 22:17,45.526157,-73.554963,29,,
T,31/12/2017 22:17,45.527046,-73.555293,27,,
T,31/12/2017 22:17,45.52771,-73.556691,28,,
T,31/12/2017 22:18,45.528069,-73.557368,27,,
T,31/12/2017 22:19,45.528686,-73.558591,29,,
T,31/12/2017 22:19,45.529172,-73.559136,29,,
T,31/12/2017 22:20,45.529593,-73.558737,27,,
T,31/12/2017 22:20,45.530196,-73.558162,27,,
T,31/12/2017 22:20,45.530121,-73.55755,25,,
T,31/12/2017 22:20,45.529551,-73.556336,24,,
T,31/12/2017 22:21,45.52905,-73.555296,23,,
T,31/12/2017 22:21,45.528452,-73.554018,23,,
T,31/12/2017 22:21,45.527826,-73.55268,21,,
T,31/12/2017 22:21,45.527461,-73.551903,20,,
T,31/12/2017 22:21,45.526929,-73.550765,20,,
T,31/12/2017 22:22,45.52682,-73.550531,19,,
T,31/12/2017 22:22,45.526001,-73.551238,20,,
T,31/12/2017 22:22,45.525611,-73.551601,20,,
T,31/12/2017 22:22,45.525348,-73.551514,19,,
T,31/12/2017 22:23,45.524932,-73.550625,19,,
T,31/12/2017 22:23,45.524769,-73.55028,20,,
T,31/12/2017 22:23,45.524016,-73.548678,22,,
T,31/12/2017 22:24,45.523633,-73.548053,21,,
T,31/12/2017 22:24,45.523226,-73.547211,21,,
