type,time,latitude,longitude,altitude (m),name,desc
T,31/12/2017 21:14,45.506781,-73.579682,41.3,,
T,31/12/2017 21:14,45.506982,-73.580197,46,,
T,31/12/2017 21:14,45.507073,-73.580382,47.7,,
T,31/12/2017 21:14,45.507188,-73.580464,46.2,,
T,31/12/2017 21:14,45.507651,-73.580288,42.3,,
T,31/12/2017 21:14,45.508076,-73.580121,37.7,,
T,31/12/2017 21:14,45.508475,-73.579941,37.2,,
T,31/12/2017 21:14,45.508878,-73.579724,36.5,,
T,31/12/2017 21:14,45.509225,-73.579546,36.5,,
T,31/12/2017 21:14,45.509571,-73.579258,33.8,,
T,31/12/2017 21:14,45.509889,-73.578949,30.9,,
T,31/12/2017 21:14,45.510204,-73.578698,30.3,,
T,31/12/2017 21:14,45.510413,-73.578498,29,,
T,31/12/2017 21:15,45.510627,-73.578329,25.9,,
T,31/12/2017 21:15,45.510812,-73.578236,24.2,,
T,31/12/2017 21:15,45.511124,-73.57813,22.1,,
T,31/12/2017 21:15,45.511341,-73.578031,21.1,,
T,31/12/2017 21:15,45.511396,-73.577925,20.7,,
T,31/12/2017 21:15,45.511266,-73.577561,21.8,,
T,31/12/2017 21:15,45.511004,-73.576957,20.8,,
T,31/12/2017 21:15,45.51092,-73.576656,19,,
T,31/12/2017 21:15,45.510822,-73.576373,19.9,,
T,31/12/2017 21:15,45.510668,-73.576042,18.3,,
T,31/12/2017 21:15,45.510459,-73.575718,20.5,,
T,31/12/2017 21:15,45.510337,-73.575557,19.7,,
T,31/12/2017 21:17,45.510322,-73.575432,21.7,,
T,31/12/2017 21:17,45.510216,-73.575209,20.6,,
T,31/12/2017 21:17,45.510097,-73.57497,20,,
T,31/12/2017 21:17,45.50992,-73.574677,19.5,,
T,31/12/2017 21:17,45.509805,-73.574411,18.8,,
T,31/12/2017 21:17,45.50971,-73.574176,18.3,,
T,31/12/2017 21:17,45.509588,-73.573956,17.9,,
T,31/12/2017 21:17,45.509534,-73.573856,15.8,,
T,31/12/2017 21:18,45.509469,-73.57377,19.3,,
T,31/12/2017 21:18,45.50934,-73.573861,19.2,,
T,31/12/2017 21:18,45.509146,-73.574044,18.5,,
T,31/12/2017 21:18,45.509043,-73.574138,18.7,,
T,31/12/2017 21:18,45.508965,-73.574193,17.6,,
T,31/12/2017 21:18,45.508748,-73.574278,17.8,,
T,31/12/2017 21:18,45.508518,-73.57446,18.6,,
T,31/12/2017 21:18,45.508375,-73.57461,18.3,,
T,31/12/2017 21:18,45.508265,-73.574679,18.9,,
T,31/12/2017 21:18,45.508144,-73.574795,18.8,,
T,31/12/2017 21:18,45.508006,-73.574943,18.4,,
T,31/12/2017 21:18,45.507815,-73.575131,17.5,,
T,31/12/2017 21:19,45.507688,-73.57525,18.5,,
T,31/12/2017 21:19,45.507604,-73.575311,17.9,,
T,31/12/2017 21:19,45.507441,-73.575467,18.5,,
T,31/12/2017 21:19,45.507283,-73.575626,18.6,,
T,31/12/2017 21:19,45.507151,-73.575755,19.3,,
T,31/12/2017 21:19,45.507146,-73.575957,17.8,,
T,31/12/2017 21:19,45.507284,-73.576227,16.4,,
T,31/12/2017 21:19,45.507415,-73.576513,15.8,,
T,31/12/2017 21:19,45.507518,-73.576743,14.7,,
T,31/12/2017 21:19,45.507625,-73.576974,14.1,,
T,31/12/2017 21:19,45.507766,-73.577269,14,,
T,31/12/2017 21:19,45.507879,-73.577622,15.7,,
T,31/12/2017 21:19,45.508014,-73.577867,16.4,,
T,31/12/2017 21:19,45.508084,-73.577895,15,,
T,31/12/2017 21:20,45.508233,-73.577825,15.4,,
T,31/12/2017 21:20,45.50848,-73.577581,15.3,,
T,31/12/2017 21:20,45.508681,-73.57739,16.2,,
T,31/12/2017 21:20,45.508908,-73.57717,14.4,,
T,31/12/2017 21:20,45.509021,-73.57707,14.1,,
T,31/12/2017 21:20,45.509144,-73.576971,16.5,,
T,31/12/2017 21:20,45.509341,-73.576798,16.3,,
T,31/12/2017 21:20,45.509628,-73.576508,16.1,,
T,31/12/2017 21:20,45.509788,-73.576356,19.2,,
T,31/12/2017 21:20,45.509772,-73.576207,19.2,,
T,31/12/2017 21:20,45.509656,-73.575904,15.3,,
T,31/12/2017 21:20,45.509501,-73.57556,15.2,,
T,31/12/2017 21:20,45.509342,-73.575212,14.2,,
T,31/12/2017 21:20,45.509143,-73.574835,14.1,,
T,31/12/2017 21:21,45.509026,-73.574617,14.6,,
T,31/12/2017 21:21,45.508897,-73.574354,16,,
T,31/12/2017 21:21,45.508706,-73.573925,19.6,,
T,31/12/2017 21:21,45.508545,-73.573519,20.7,,
T,31/12/2017 21:21,45.508375,-73.573128,20.1,,
T,31/12/2017 21:21,45.508208,-73.572789,20.3,,
T,31/12/2017 21:21,45.508045,-73.572476,20.8,,
T,31/12/2017 21:21,45.5079,-73.572118,20.9,,
T,31/12/2017 21:21,45.507841,-73.571998,23.6,,
T,31/12/2017 21:21,45.507797,-73.571912,31,,
T,31/12/2017 21:21,45.507756,-73.571701,23.7,,
T,31/12/2017 21:22,45.507967,-73.571471,19.4,,
T,31/12/2017 21:22,45.508128,-73.571379,18.3,,
T,31/12/2017 21:22,45.508188,-73.571314,29.9,,
T,31/12/2017 21:22,45.508149,-73.571053,26.2,,
T,31/12/2017 21:22,45.507985,-73.570641,20,,
T,31/12/2017 21:22,45.507842,-73.570291,14,,
T,31/12/2017 21:23,45.507749,-73.570086,13.6,,
T,31/12/2017 21:23,45.507683,-73.570006,13.3,,
T,31/12/2017 21:23,45.50761,-73.569881,13.8,,
T,31/12/2017 21:23,45.507516,-73.569676,9.5,,
T,31/12/2017 21:23,45.507369,-73.569662,10.5,,
