id,timestamp,latitude,longitude,altitude,speedInKPH,speedLimit,course,roadConditions,weatherConditionsDescription,visibilityInMiles,temperatureInCelsius,relativeHumidityInFrac,windKPH,windDirectionDegrees,pressureInMb,precipitation1HrMetric,trafficJamFactor,trafficSpeed,trafficLength,accelerationX,accelerationY,accelerationZ,roadTypes,roadTypeFunctionalClass,averageGpsSpeed,accelerometerMagnitude,compositeProbability
1.51E+12,2017-12-31T22:24:41Z,45.52257,-73.54659,-11,26.712,Speed(mps=9999.0),203,UNKNOWN,UNKNOWN,,,,,,,,UNKNOWN,,,0.582,2.213,7.1515,,UNKNOWN,Speed(mps=11.969999999999999),7.508664678,0.651966353
1.51E+12,2017-12-31T22:24:42Z,45.52246,-73.54668,-12,46.224,Speed(mps=9999.0),200,UNKNOWN,UNKNOWN,,,,,,,,UNKNOWN,,,0.0048,3.5614,9.3765,,UNKNOWN,Speed(mps=13.065),10.03007205,0.327051846
1.51E+12,2017-12-31T22:24:43Z,45.52235,-73.54672,-12,39.96,Speed(mps=9999.0),199,UNKNOWN,UNKNOWN,,,,,,,,UNKNOWN,,,-0.3233,2.8453,9.6112,,UNKNOWN,Speed(mps=14.975),10.02872975,2.25E-05
1.51E+12,2017-12-31T22:24:44Z,45.52224,-73.54681,-10,54.108,Speed(mps=9999.0),202,UNKNOWN,UNKNOWN,,,,,,,,UNKNOWN,,,-0.4503,2.6225,10.9021,,UNKNOWN,Speed(mps=14.495000000000001),11.22212372,0.075812949
1.51E+12,2017-12-31T22:24:45Z,45.52211,-73.5469,-11,53.712,Speed(mps=9999.0),201,UNKNOWN,UNKNOWN,,,,,,,,UNKNOWN,,,-0.5077,1.2646,10.4351,,UNKNOWN,Speed(mps=14.065000000000001),10.52370108,0.061174463
1.51E+12,2017-12-31T22:24:46Z,45.52199,-73.54696,-12,50.652,Speed(mps=9999.0),202,UNKNOWN,UNKNOWN,,,,,,,,UNKNOWN,,,0.2946,0.8359,10.3441,,UNKNOWN,Speed(mps=13.31),10.38199994,0.10448356
1.51E+12,2017-12-31T22:24:47Z,45.52187,-73.54703,-11,50.616,Speed(mps=9999.0),201,UNKNOWN,UNKNOWN,,,,,,,,UNKNOWN,,,-0.5293,0.2658,10.8925,,UNKNOWN,Speed(mps=12.600000000000001),10.90859131,0.152567812
1.51E+12,2017-12-31T22:24:48Z,45.52178,-73.54711,-11,45.216,Speed(mps=9999.0),204,UNKNOWN,UNKNOWN,,,,,,,,UNKNOWN,,,0.4886,1.1233,10.7728,,UNKNOWN,Speed(mps=12.2),10.84222084,0.027212079
1.51E+12,2017-12-31T22:24:49Z,45.52167,-73.54719,-10,45.504,Speed(mps=9999.0),208,UNKNOWN,UNKNOWN,,,,,,,,UNKNOWN,,,0.4814,0.8718,7.5108,,UNKNOWN,Speed(mps=11.735),7.576536005,0.071375131
1.51E+12,2017-12-31T22:24:50Z,45.52157,-73.54724,-10,42.336,Speed(mps=9999.0),205,UNKNOWN,UNKNOWN,,,,,,,,UNKNOWN,,,-0.6514,0.3808,13.8528,,UNKNOWN,Speed(mps=10.485),13.87333408,0.399665013
1.51E+12,2017-12-31T22:24:51Z,45.52148,-73.5473,-10,42.156,Speed(mps=9999.0),204,UNKNOWN,UNKNOWN,,,,,,,,UNKNOWN,,,-0.206,1.2454,10.5237,,UNKNOWN,Speed(mps=10.645),10.59913765,0.008798675
