type,time,latitude,longitude,altitude (m),name,desc
T,01/01/2018 2:30,45.59479868,-73.57594139,36.6,,
T,01/01/2018 2:30,45.59537384,-73.57509014,34.6,,
T,01/01/2018 2:30,45.59585259,-73.57439378,32.6,,
T,01/01/2018 2:30,45.59633589,-73.57372886,30.6,,
T,01/01/2018 2:30,45.59682867,-73.5731315,32.6,,
T,01/01/2018 2:30,45.59749451,-73.57249198,34.6,,
T,01/01/2018 2:30,45.5980829,-73.57198524,35.6,,
T,01/01/2018 2:30,45.59871591,-73.57140367,36.6,,
T,01/01/2018 2:30,45.5994362,-73.57075262,37.6,,
T,01/01/2018 2:30,45.60002658,-73.57021668,39.6,,
T,01/01/2018 2:30,45.60038783,-73.56983648,41.6,,
T,01/01/2018 2:30,45.60045289,-73.56950845,40.6,,
T,01/01/2018 2:30,45.60013486,-73.56905863,42.6,,
T,01/01/2018 2:30,45.5997177,-73.56888053,43.6,,
T,01/01/2018 2:31,45.59939778,-73.56889311,41.6,,
T,01/01/2018 2:31,45.5993392,-73.56922614,40.6,,
T,01/01/2018 2:31,45.59948078,-73.56959579,44.6,,
T,01/01/2018 2:31,45.59972309,-73.57014697,47.6,,
T,01/01/2018 2:31,45.60006437,-73.57092351,47.6,,
T,01/01/2018 2:31,45.60033072,-73.57154676,48.6,,
T,01/01/2018 2:31,45.60069999,-73.57239032,42.6,,
T,01/01/2018 2:31,45.60100234,-73.57308969,41.6,,
T,01/01/2018 2:31,45.60122314,-73.57358531,40.6,,
T,01/01/2018 2:31,45.60142404,-73.57412801,43.6,,
T,01/01/2018 2:31,45.60173013,-73.57476725,39.6,,
T,01/01/2018 2:31,45.60197304,-73.57530186,40.6,,
T,01/01/2018 2:31,45.60225382,-73.57598279,33.6,,
T,01/01/2018 2:32,45.6025061,-73.57653518,33.6,,
T,01/01/2018 2:32,45.60280432,-73.57724926,32.6,,
T,01/01/2018 2:32,45.60305133,-73.57780777,30.6,,
T,01/01/2018 2:32,45.60326961,-73.57826978,28.6,,
T,01/01/2018 2:32,45.60330759,-73.57833876,28.6,,
T,01/01/2018 2:32,45.60342629,-73.57863884,29.6,,
T,01/01/2018 2:32,45.60368916,-73.57924602,31.6,,
T,01/01/2018 2:32,45.60398666,-73.57996925,30.6,,
T,01/01/2018 2:32,45.60422194,-73.58054839,28.6,,
T,01/01/2018 2:32,45.6044359,-73.58105387,29.6,,
T,01/01/2018 2:32,45.60466533,-73.58157945,30.6,,
T,01/01/2018 2:32,45.60483217,-73.58198881,34.6,,
T,01/01/2018 2:32,45.60511762,-73.58261166,36.6,,
T,01/01/2018 2:32,45.60535813,-73.58309826,32.6,,
T,01/01/2018 2:33,45.60563432,-73.58371778,31.6,,
T,01/01/2018 2:33,45.6057577,-73.58392816,32.6,,
T,01/01/2018 2:33,45.60583604,-73.58404554,33.6,,
T,01/01/2018 2:33,45.60606894,-73.58383734,33.6,,
T,01/01/2018 2:33,45.60633094,-73.5836018,35.6,,
T,01/01/2018 2:33,45.60655432,-73.58337658,35.6,,
T,01/01/2018 2:33,45.60664434,-73.58329348,35.6,,
T,01/01/2018 2:33,45.6068414,-73.58322532,37.6,,
T,01/01/2018 2:36,45.60693005,-73.5832161,37.6,,
T,01/01/2018 2:36,45.60685133,-73.58326208,32.6,,
T,01/01/2018 2:36,45.60690058,-73.58333784,33.6,,
T,01/01/2018 2:36,45.60685206,-73.58351236,35.6,,
T,01/01/2018 2:37,45.60670434,-73.5835045,33.6,,
T,01/01/2018 2:37,45.6065423,-73.58346465,36.6,,
T,01/01/2018 2:37,45.60630037,-73.5836577,35.6,,
T,01/01/2018 2:37,45.60594027,-73.58397503,36.6,,
T,01/01/2018 2:37,45.60583886,-73.58407977,36.6,,
T,01/01/2018 2:37,45.6058723,-73.58431195,37.6,,
T,01/01/2018 2:37,45.60607655,-73.58483185,37.6,,
T,01/01/2018 2:37,45.60631248,-73.58534569,36.6,,
T,01/01/2018 2:37,45.60652498,-73.58580038,36.6,,
T,01/01/2018 2:37,45.60672856,-73.5862056,37.6,,
T,01/01/2018 2:37,45.6068961,-73.58616914,39.6,,
T,01/01/2018 2:37,45.60718974,-73.58560814,38.6,,
T,01/01/2018 2:37,45.60762894,-73.5848568,38.6,,
T,01/01/2018 2:37,45.60795938,-73.58429163,38.6,,
T,01/01/2018 2:38,45.60836656,-73.58365385,38.6,,
T,01/01/2018 2:38,45.60867536,-73.58333466,38.6,,
T,01/01/2018 2:38,45.60887443,-73.58317093,37.6,,
T,01/01/2018 2:38,45.60894275,-73.58311555,38.6,,
T,01/01/2018 2:38,45.60932449,-73.58274029,39.6,,
T,01/01/2018 2:38,45.60975462,-73.58226861,39.6,,
T,01/01/2018 2:38,45.61024239,-73.58179372,39.6,,
T,01/01/2018 2:38,45.61053453,-73.58154992,41.6,,
T,01/01/2018 2:38,45.61061732,-73.58144998,41.6,,
T,01/01/2018 2:38,45.61058074,-73.58103303,40.6,,
