type,time,latitude,longitude,altitude (m),name,desc
T,31/12/2017 20:00,45.493193,-73.563559,66.2,,
T,31/12/2017 20:00,45.493135,-73.563527,74.2,,
T,31/12/2017 20:01,45.493004,-73.563535,96.2,,
T,31/12/2017 20:07,45.493034,-73.563656,71.2,,
T,31/12/2017 20:28,45.492967,-73.56372,55.2,,
T,31/12/2017 20:28,45.492901,-73.563824,49.2,,
T,31/12/2017 20:28,45.492807,-73.563899,47.2,,
T,31/12/2017 20:28,45.49269,-73.563988,38.2,,
T,31/12/2017 20:29,45.492625,-73.56405,34.2,,
T,31/12/2017 20:29,45.492719,-73.564285,31.2,,
T,31/12/2017 20:29,45.492854,-73.564524,28.3,,
T,31/12/2017 20:29,45.492925,-73.564598,22.3,,
T,31/12/2017 20:30,45.492969,-73.564689,19.3,,
T,31/12/2017 20:30,45.492937,-73.56483,18.3,,
T,31/12/2017 20:30,45.492641,-73.565121,21.3,,
T,31/12/2017 20:30,45.492289,-73.565399,19.3,,
T,31/12/2017 20:30,45.491802,-73.565832,19.3,,
T,31/12/2017 20:30,45.491395,-73.56614,19.3,,
T,31/12/2017 20:30,45.491022,-73.566456,18.3,,
T,31/12/2017 20:30,45.490557,-73.566805,17.3,,
T,31/12/2017 20:30,45.490256,-73.567116,18.3,,
T,31/12/2017 20:30,45.490256,-73.567403,18.3,,
T,31/12/2017 20:30,45.490428,-73.56779,17.3,,
T,31/12/2017 20:30,45.490667,-73.568292,14.3,,
T,31/12/2017 20:30,45.490976,-73.568912,14.3,,
T,31/12/2017 20:31,45.491231,-73.569419,14.3,,
T,31/12/2017 20:31,45.49135,-73.56967,13.3,,
T,31/12/2017 20:31,45.49142,-73.569729,15.3,,
T,31/12/2017 20:31,45.491541,-73.570075,15.3,,
T,31/12/2017 20:31,45.491734,-73.570511,16.3,,
T,31/12/2017 20:31,45.492058,-73.571209,19.3,,
T,31/12/2017 20:32,45.492346,-73.571772,24.3,,
T,31/12/2017 20:32,45.492613,-73.572382,27.3,,
T,31/12/2017 20:32,45.492881,-73.573005,28.3,,
T,31/12/2017 20:32,45.49314,-73.57352,31.3,,
T,31/12/2017 20:32,45.49342,-73.574034,36.3,,
T,31/12/2017 20:32,45.493613,-73.57453,39.3,,
T,31/12/2017 20:32,45.493672,-73.574624,40.3,,
T,31/12/2017 20:32,45.493713,-73.574737,43.3,,
T,31/12/2017 20:32,45.493869,-73.575107,47.3,,
T,31/12/2017 20:32,45.494121,-73.575584,51.3,,
T,31/12/2017 20:33,45.494258,-73.575942,52.3,,
T,31/12/2017 20:33,45.494461,-73.576412,51.3,,
T,31/12/2017 20:33,45.494671,-73.5769,55.3,,
T,31/12/2017 20:33,45.494918,-73.577378,56.3,,
T,31/12/2017 20:33,45.495043,-73.577638,61.3,,
T,31/12/2017 20:33,45.494972,-73.577645,60.3,,
T,31/12/2017 20:34,45.49498,-73.577723,62.3,,
T,31/12/2017 20:34,45.495211,-73.578208,61.3,,
T,31/12/2017 20:34,45.4955,-73.578811,62.3,,
T,31/12/2017 20:34,45.495738,-73.57959,64.3,,
T,31/12/2017 20:34,45.496025,-73.580157,65.3,,
T,31/12/2017 20:34,45.49624,-73.580737,66.3,,
T,31/12/2017 20:34,45.496414,-73.581274,65.3,,
T,31/12/2017 20:34,45.496497,-73.581745,67.3,,
T,31/12/2017 20:34,45.496532,-73.582012,64.3,,
T,31/12/2017 20:34,45.496511,-73.582373,66.3,,
T,31/12/2017 20:34,45.496489,-73.582713,67.3,,
T,31/12/2017 20:34,45.49647,-73.583086,65.3,,
T,31/12/2017 20:34,45.49644,-73.583519,67.3,,
T,31/12/2017 20:34,45.496415,-73.583921,66.3,,
T,31/12/2017 20:35,45.496393,-73.584057,67.3,,
T,31/12/2017 20:35,45.496426,-73.584167,66.3,,
T,31/12/2017 20:35,45.496333,-73.584618,59.3,,
T,31/12/2017 20:35,45.496374,-73.585154,70.3,,
T,31/12/2017 20:35,45.496278,-73.585701,72.3,,
T,31/12/2017 20:35,45.49622,-73.586164,77.3,,
T,31/12/2017 20:35,45.496247,-73.586361,77.3,,
T,31/12/2017 20:35,45.496343,-73.586692,80.3,,
T,31/12/2017 20:35,45.496441,-73.587249,85.3,,
T,31/12/2017 20:36,45.496343,-73.587716,88.3,,
T,31/12/2017 20:36,45.496132,-73.588109,91.3,,
T,31/12/2017 20:36,45.495913,-73.588503,95.3,,
T,31/12/2017 20:36,45.495612,-73.58904,99.3,,
T,31/12/2017 20:36,45.495341,-73.589502,99.4,,
T,31/12/2017 20:36,45.495114,-73.590133,103.4,,
T,31/12/2017 20:36,45.495017,-73.590759,105.4,,
T,31/12/2017 20:36,45.495022,-73.591457,112.4,,
T,31/12/2017 20:36,45.495072,-73.592347,116.4,,
