type,time,latitude,longitude,altitude (m),name,desc
T,30/12/2017 19:47,45.492876,-73.564585,20,,
T,30/12/2017 19:47,45.493035,-73.564723,12,,
T,30/12/2017 19:47,45.493617,-73.564271,25,,
T,30/12/2017 19:48,45.494177,-73.563843,29,,
T,30/12/2017 19:48,45.494116,-73.563305,28,,
T,30/12/2017 19:48,45.493878,-73.562651,31,,
T,30/12/2017 19:48,45.493722,-73.562222,24,,
T,30/12/2017 19:49,45.4935,-73.56221,22,,
T,30/12/2017 19:49,45.493147,-73.562465,22,,
T,30/12/2017 19:49,45.492981,-73.562169,18,,
T,30/12/2017 19:49,45.492784,-73.561646,19,,
T,30/12/2017 19:49,45.492575,-73.561088,14,,
T,30/12/2017 19:50,45.49243,-73.560703,12,,
T,30/12/2017 19:50,45.492785,-73.560358,15,,
T,30/12/2017 19:50,45.492967,-73.560208,17,,
T,30/12/2017 19:50,45.493386,-73.559881,17,,
T,30/12/2017 19:50,45.49365,-73.559678,17,,
T,30/12/2017 19:51,45.493984,-73.559402,20,,
T,30/12/2017 19:51,45.494404,-73.559106,23,,
T,30/12/2017 19:51,45.494591,-73.558976,25,,
T,30/12/2017 19:51,45.495063,-73.558614,25,,
T,30/12/2017 19:52,45.49513,-73.558357,24,,
T,30/12/2017 19:52,45.494907,-73.557753,30,,
T,30/12/2017 19:52,45.494641,-73.557033,24,,
T,30/12/2017 19:52,45.494544,-73.55677,19,,
T,30/12/2017 19:52,45.49408,-73.556906,19,,
T,30/12/2017 19:52,45.493667,-73.557208,21,,
T,30/12/2017 19:53,45.493143,-73.557579,22,,
T,30/12/2017 19:53,45.492603,-73.557954,26,,
T,30/12/2017 19:53,45.491822,-73.55832,27,,
T,30/12/2017 19:53,45.490957,-73.557706,24,,
T,30/12/2017 19:53,45.49024,-73.557486,19,,
T,30/12/2017 19:54,45.489464,-73.557246,22,,
T,30/12/2017 19:54,45.489248,-73.557163,20,,
T,30/12/2017 19:54,45.48842,-73.557196,16,,
T,30/12/2017 19:54,45.487733,-73.557334,20,,
T,30/12/2017 19:54,45.487302,-73.557196,21,,
T,30/12/2017 19:55,45.487209,-73.556242,21,,
T,30/12/2017 19:55,45.487122,-73.555303,24,,
T,30/12/2017 19:55,45.487039,-73.554387,24,,
T,30/12/2017 19:55,45.486955,-73.553433,23,,
T,30/12/2017 19:55,45.486897,-73.552814,24,,
T,30/12/2017 19:56,45.486864,-73.552473,24,,
T,30/12/2017 19:56,45.486523,-73.552384,23,,
T,30/12/2017 19:56,45.486173,-73.552453,24,,
T,30/12/2017 19:57,45.486175,-73.552767,24,,
T,30/12/2017 19:57,45.48624,-73.553492,23,,
T,30/12/2017 19:57,45.486357,-73.553952,20,,
T,30/12/2017 19:57,45.486411,-73.554527,19,,
T,30/12/2017 19:57,45.486602,-73.554696,19,,
T,30/12/2017 19:58,45.486803,-73.554659,17,,
T,30/12/2017 19:59,45.486998,-73.554624,14,,
T,30/12/2017 19:59,45.486997,-73.553901,15,,
T,30/12/2017 20:00,45.486941,-73.553277,15,,
T,30/12/2017 20:00,45.48691,-73.552952,15,,
T,30/12/2017 20:00,45.486855,-73.552378,16,,
T,30/12/2017 20:00,45.487498,-73.552251,16,,
T,30/12/2017 20:01,45.48819,-73.552078,15,,
T,30/12/2017 20:01,45.488818,-73.551968,15,,
T,30/12/2017 20:01,45.489344,-73.551876,16,,
T,30/12/2017 20:01,45.489971,-73.55177,14,,
T,30/12/2017 20:01,45.490506,-73.551691,13,,
T,30/12/2017 20:02,45.491185,-73.551607,13,,
T,30/12/2017 20:02,45.491842,-73.551503,14,,
T,30/12/2017 20:02,45.492503,-73.551391,14,,
T,30/12/2017 20:02,45.493329,-73.551251,15,,
T,30/12/2017 20:02,45.494216,-73.551107,14,,
T,30/12/2017 20:02,45.495056,-73.55099,14,,
T,30/12/2017 20:03,45.495367,-73.551026,15,,
T,30/12/2017 20:03,45.495806,-73.55183,16,,
