type,time,latitude,longitude,altitude (m),name,des
T,30/12/2017 19:47,45.4927,-73.564236,31,,
T,30/12/2017 19:47,45.492984,-73.564651,33,,
T,30/12/2017 19:47,45.493434,-73.564412,34,,
T,30/12/2017 19:48,45.493965,-73.564,33,,
T,30/12/2017 19:48,45.494212,-73.563566,32,,
T,30/12/2017 19:48,45.493973,-73.562913,31,,
T,30/12/2017 19:48,45.493771,-73.562356,30,,
T,30/12/2017 19:48,45.493676,-73.562095,30,,
T,30/12/2017 19:49,45.493284,-73.562365,30,,
T,30/12/2017 19:49,45.49304,-73.562325,30,,
T,30/12/2017 19:49,45.492885,-73.561912,30,,
T,30/12/2017 19:49,45.492692,-73.561399,30,,
T,30/12/2017 19:49,45.492533,-73.560978,30,,
T,30/12/2017 19:50,45.492436,-73.560719,31,,
T,30/12/2017 19:50,45.492712,-73.560419,31,,
T,30/12/2017 19:50,45.493098,-73.560099,31,,
T,30/12/2017 19:50,45.493518,-73.559787,31,,
T,30/12/2017 19:50,45.49385,-73.559514,31,,
T,30/12/2017 19:51,45.494015,-73.559377,31,,
T,30/12/2017 19:51,45.494439,-73.559081,31,,
T,30/12/2017 19:51,45.494769,-73.558842,31,,
T,30/12/2017 19:52,45.495131,-73.55836,31,,
T,30/12/2017 19:52,45.494877,-73.557671,31,,
T,30/12/2017 19:52,45.494592,-73.5569,31,,
T,30/12/2017 19:52,45.494497,-73.556654,31,,
T,30/12/2017 19:52,45.494016,-73.556955,31,,
T,30/12/2017 19:52,45.493668,-73.557207,31,,
T,30/12/2017 19:53,45.493163,-73.557564,32,,
T,30/12/2017 19:53,45.492603,-73.557954,32,,
T,30/12/2017 19:53,45.491753,-73.558313,32,,
T,30/12/2017 19:53,45.490963,-73.557676,34,,
T,30/12/2017 19:53,45.49035,-73.557429,36,,
T,30/12/2017 19:54,45.489457,-73.557165,36,,
T,30/12/2017 19:54,45.489261,-73.557117,34,,
T,30/12/2017 19:54,45.488451,-73.557139,32,,
T,30/12/2017 19:54,45.487719,-73.557313,32,,
T,30/12/2017 19:54,45.48728,-73.557234,32,,
T,30/12/2017 19:55,45.487223,-73.556327,33,,
T,30/12/2017 19:55,45.487127,-73.555353,33,,
