typ,time,latitude,longitude,altitude (m),name,desc
T,01/01/2018 2:30,45.595512,-73.574871,39,,
T,01/01/2018 2:30,45.596721,-73.573222,38,,
T,01/01/2018 2:30,45.598097,-73.571954,36,,
T,01/01/2018 2:30,45.599585,-73.570627,34,,
T,01/01/2018 2:30,45.60044,-73.569531,44,,
T,01/01/2018 2:31,45.599643,-73.568853,43,,
T,01/01/2018 2:31,45.599453,-73.569519,43,,
T,01/01/2018 2:31,45.600084,-73.570967,44,,
T,01/01/2018 2:31,45.600774,-73.572573,42,,
T,01/01/2018 2:31,45.601317,-73.573824,42,,
T,01/01/2018 2:31,45.601849,-73.575049,41,,
T,01/01/2018 2:32,45.602489,-73.576538,41,,
T,01/01/2018 2:32,45.603093,-73.57793,43,,
T,01/01/2018 2:32,45.603408,-73.578665,44,,
T,01/01/2018 2:32,45.603946,-73.579928,43,,
T,01/01/2018 2:32,45.604529,-73.581267,42,,
T,01/01/2018 2:32,45.605004,-73.582355,43,,
T,01/01/2018 2:33,45.605541,-73.583598,43,,
T,01/01/2018 2:33,45.605846,-73.584051,41,,
T,01/01/2018 2:33,45.606529,-73.583441,42,,
T,01/01/2018 2:33,45.606837,-73.583238,40,,
T,01/01/2018 2:36,45.606839,-73.5835,41,,
T,01/01/2018 2:37,45.606295,-73.583632,40,,
T,01/01/2018 2:37,45.605855,-73.584337,37,,
T,01/01/2018 2:37,45.606409,-73.585621,38,,
T,01/01/2018 2:37,45.606879,-73.586214,40,,
T,01/01/2018 2:37,45.607659,-73.584903,40,,
T,01/01/2018 2:38,45.608512,-73.58364,41,,
T,01/01/2018 2:38,45.609,-73.58307,39,,
T,01/01/2018 2:38,45.60996,-73.582127,40,,
T,01/01/2018 2:38,45.610584,-73.58158,37,,
T,01/01/2018 2:38,45.61047,-73.580639,41,,
T,01/01/2018 2:38,45.609862,-73.578757,41,,
T,01/01/2018 2:39,45.609325,-73.576645,40,,
T,01/01/2018 2:39,45.608585,-73.574237,36,,
T,01/01/2018 2:39,45.607547,-73.571732,39,,
T,01/01/2018 2:39,45.606316,-73.569876,44,,
T,01/01/2018 2:39,45.60475,-73.568727,42,,
T,01/01/2018 2:39,45.60298,-73.568707,43,,
T,01/01/2018 2:40,45.601383,-73.569619,42,,
T,01/01/2018 2:40,45.59976,-73.57097,43,,
T,01/01/2018 2:40,45.598,-73.572483,33,,
T,01/01/2018 2:40,45.596428,-73.57434,30,,
T,01/01/2018 2:40,45.595531,-73.575636,41,,
T,01/01/2018 2:40,45.594709,-73.576862,44,,
T,01/01/2018 2:41,45.593786,-73.578218,43,,
T,01/01/2018 2:41,45.592753,-73.579722,45,,
T,01/01/2018 2:41,45.591585,-73.581033,41,,
T,01/01/2018 2:41,45.590179,-73.582206,40,,
T,01/01/2018 2:41,45.588739,-73.583384,39,,
T,01/01/2018 2:41,45.587185,-73.584841,38,,
T,01/01/2018 2:42,45.585809,-73.586139,40,,
T,01/01/2018 2:42,45.58454,-73.587347,40,,
T,01/01/2018 2:42,45.583376,-73.588371,45,,
T,01/01/2018 2:42,45.582215,-73.58942,41,,
T,01/01/2018 2:42,45.580879,-73.590643,40,,
T,01/01/2018 2:42,45.579607,-73.591712,46,,
T,01/01/2018 2:43,45.578472,-73.592665,46,,
T,01/01/2018 2:43,45.57716,-73.5938,48,,
T,01/01/2018 2:43,45.575784,-73.594993,49,,
T,01/01/2018 2:43,45.574346,-73.596251,48,,
T,01/01/2018 2:43,45.572937,-73.597509,48,,
T,01/01/2018 2:43,45.571583,-73.598714,51,,
T,01/01/2018 2:44,45.57014,-73.60004,53,,
T,01/01/2018 2:44,45.568692,-73.601351,56,,
T,01/01/2018 2:44,45.567292,-73.602599,56,,
T,01/01/2018 2:44,45.565912,-73.6038,55,,
T,01/01/2018 2:44,45.56482,-73.604918,56,,
T,01/01/2018 2:44,45.563859,-73.605764,54,,
T,01/01/2018 2:45,45.563014,-73.606799,53,,
T,01/01/2018 2:45,45.562332,-73.607283,51,,
T,01/01/2018 2:45,45.562121,-73.606509,51,,
T,01/01/2018 2:45,45.562518,-73.606145,52,,
T,01/01/2018 2:45,45.562664,-73.605741,52,,
T,01/01/2018 2:46,45.562293,-73.604881,52,,
T,01/01/2018 2:46,45.561935,-73.604452,52,,
T,01/01/2018 2:46,45.561859,-73.604773,51,,
T,01/01/2018 2:46,45.561951,-73.605238,51,,
T,01/01/2018 2:47,45.562413,-73.60592,53,,
T,01/01/2018 2:48,45.562575,-73.606105,50,,
T,01/01/2018 2:48,45.563272,-73.605662,51,,
T,01/01/2018 2:48,45.564148,-73.604911,53,,
T,01/01/2018 2:48,45.564431,-73.604865,53,,
T,01/01/2018 2:48,45.564373,-73.605428,53,,
T,01/01/2018 2:49,45.563299,-73.606418,54,,
T,01/01/2018 2:49,45.56241,-73.607424,53,,
T,01/01/2018 2:49,45.561688,-73.607826,52,,
T,01/01/2018 2:49,45.56129,-73.608058,51,,
T,01/01/2018 2:49,45.560906,-73.608467,52,,
T,01/01/2018 2:49,45.560447,-73.608959,54,,
T,01/01/2018 2:50,45.559978,-73.609607,53,,
T,01/01/2018 2:50,45.559401,-73.610483,53,,
T,01/01/2018 2:50,45.558579,-73.61211,52,,
T,01/01/2018 2:50,45.557643,-73.61436,49,,
T,01/01/2018 2:50,45.556634,-73.616778,49,,
T,01/01/2018 2:50,45.55558,-73.619274,49,,
T,01/01/2018 2:51,45.554531,-73.621798,50,,
T,01/01/2018 2:51,45.55331,-73.624329,51,,
T,01/01/2018 2:51,45.552041,-73.626673,49,,
T,01/01/2018 2:51,45.550783,-73.629201,49,,
T,01/01/2018 2:51,45.550142,-73.631966,48,,
T,01/01/2018 2:51,45.549369,-73.63465,47,,
T,01/01/2018 2:52,45.547862,-73.636746,45,,
T,01/01/2018 2:52,45.546108,-73.638268,43,,
T,01/01/2018 2:52,45.544488,-73.639671,43,,
T,01/01/2018 2:52,45.542732,-73.640991,43,,
T,01/01/2018 2:52,45.540989,-73.642114,41,,
T,01/01/2018 2:52,45.539133,-73.64328,38,,
T,01/01/2018 2:53,45.53727,-73.644504,37,,
T,01/01/2018 2:53,45.535373,-73.645716,37,,
T,01/01/2018 2:53,45.533476,-73.646993,38,,
T,01/01/2018 2:53,45.531729,-73.648195,36,,
T,01/01/2018 2:53,45.529893,-73.649404,37,,
T,01/01/2018 2:53,45.528278,-73.65103,37,,
