typ,time,latitude,longitude,altitude (m),name,desc
T,01/01/02018 2:30,45.595476,-73.574894,35,,
T,1/1/2018 2:30,45.596684,-73.57331,32,,
T,1/1/2018 2:30,45.59806,-73.571989,32,,
T,1/1/2018 2:30,45.599612,-73.570641,34,,
T,1/1/2018 2:30,45.600459,-73.569576,35,,
T,1/1/2018 2:30,45.59985,-73.568891,41,,
T,1/1/2018 2:31,45.599387,-73.569322,42,,
T,1/1/2018 2:31,45.599951,-73.570639,46,,
T,1/1/2018 2:31,45.600638,-73.572269,40,,
T,1/1/2018 2:31,45.601186,-73.573581,34,,
T,1/1/2018 2:31,45.601666,-73.57481,35,,
T,1/1/2018 2:31,45.602237,-73.576133,36,,
T,1/1/2018 2:32,45.602848,-73.577567,35,,
T,1/1/2018 2:32,45.603248,-73.578368,33,,
T,1/1/2018 2:32,45.603745,-73.579503,36,,
T,1/1/2018 2:32,45.604334,-73.580879,36,,
T,1/1/2018 2:32,45.604793,-73.58195,37,,
T,1/1/2018 2:33,45.605347,-73.583214,38,,
T,1/1/2018 2:33,45.605715,-73.583963,35,,
T,1/1/2018 2:33,45.606316,-73.583648,36,,
T,1/1/2018 2:33,45.606692,-73.583303,37,,
T,1/1/2018 2:36,45.60688,-73.5834,38,,
T,1/1/2018 2:37,45.60644,-73.583536,38,,
T,1/1/2018 2:37,45.605827,-73.584104,36,,
T,1/1/2018 2:37,45.606235,-73.585196,37,,
T,1/1/2018 2:37,45.606737,-73.586227,36,,
T,1/1/2018 2:37,45.607456,-73.585146,39,,
T,1/1/2018 2:38,45.608287,-73.583769,39,,
T,1/1/2018 2:38,45.608997,-73.583065,38,,
T,1/1/2018 2:38,45.609981,-73.58207,40,,
T,1/1/2018 2:38,45.610673,-73.581262,39,,
T,1/1/2018 2:38,45.610273,-73.579856,39,,
T,1/1/2018 2:39,45.609685,-73.577741,40,,
T,1/1/2018 2:39,45.609039,-73.575499,41,,
T,1/1/2018 2:39,45.6081,-73.573,42,,
T,1/1/2018 2:39,45.60699,-73.570673,41,,
T,1/1/2018 2:39,45.605583,-73.569153,43,,
T,1/1/2018 2:39,45.603846,-73.568554,38,,
T,1/1/2018 2:40,45.602133,-73.569073,38,,
T,1/1/2018 2:40,45.600578,-73.570287,37,,
T,1/1/2018 2:40,45.598772,-73.571686,33,,
T,1/1/2018 2:40,45.597093,-73.573365,32,,
T,1/1/2018 2:40,45.595939,-73.575008,31,,
T,1/1/2018 2:40,45.59515,-73.576215,36,,
T,1/1/2018 2:41,45.594254,-73.577559,40,,
T,1/1/2018 2:41,45.593294,-73.578942,43,,
T,1/1/2018 2:41,45.592194,-73.580374,45,,
T,1/1/2018 2:41,45.590826,-73.581592,45,,
T,1/1/2018 2:41,45.589451,-73.582762,44,,
T,1/1/2018 2:41,45.587878,-73.584125,43,,
T,1/1/2018 2:42,45.586426,-73.585541,44,,
T,1/1/2018 2:42,45.585181,-73.586747,46,,
T,1/1/2018 2:42,45.583976,-73.587922,47,,
T,1/1/2018 2:42,45.582776,-73.588966,48,,
T,1/1/2018 2:42,45.581539,-73.590045,47,,
T,1/1/2018 2:42,45.580259,-73.59125,45,,
T,1/1/2018 2:43,45.579099,-73.592269,43,,
T,1/1/2018 2:43,45.577852,-73.593217,45,,
T,1/1/2018 2:43,45.576469,-73.594444,46,,
T,1/1/2018 2:43,45.575085,-73.595677,45,,
T,1/1/2018 2:43,45.573608,-73.596976,44,,
T,1/1/2018 2:43,45.572232,-73.59825,49,,
T,1/1/2018 2:44,45.57088,-73.599444,52,,
T,1/1/2018 2:44,45.569425,-73.600805,54,,
T,1/1/2018 2:44,45.567978,-73.602084,55,,
T,1/1/2018 2:44,45.566616,-73.60333,56,,
T,1/1/2018 2:44,45.565249,-73.604489,53,,
T,1/1/2018 2:44,45.564307,-73.605359,51,,
T,1/1/2018 2:45,45.563373,-73.606235,46,,
T,1/1/2018 2:45,45.562706,-73.607082,45,,
T,1/1/2018 2:45,45.562214,-73.60705,45,,
T,1/1/2018 2:45,45.562268,-73.606353,45,,
T,1/1/2018 2:45,45.562422,-73.606213,44,,
T,1/1/2018 2:45,45.562649,-73.605703,44,,
T,1/1/2018 2:46,45.5623,-73.604897,45,,
T,1/1/2018 2:46,45.561943,-73.604456,44,,
T,1/1/2018 2:46,45.561859,-73.604773,45,,
T,1/1/2018 2:46,45.56194,-73.605215,46,,
T,1/1/2018 2:47,45.562413,-73.60592,45,,
T,1/1/2018 2:48,45.562566,-73.606094,45,,
T,1/1/2018 2:48,45.56324,-73.605648,45,,
T,1/1/2018 2:48,45.564142,-73.604918,46,,
T,1/1/2018 2:48,45.564613,-73.604749,45,,
T,1/1/2018 2:48,45.564561,-73.605295,45,,
T,1/1/2018 2:49,45.56348,-73.606229,46,,
T,1/1/2018 2:49,45.562648,-73.607217,45,,
T,1/1/2018 2:49,45.561832,-73.607736,45,,
T,1/1/2018 2:49,45.561276,-73.608082,45,,
T,1/1/2018 2:49,45.560917,-73.60845,46,,
T,1/1/2018 2:49,45.560444,-73.608994,50,,
T,1/1/2018 2:50,45.560035,-73.609531,53,,
T,1/1/2018 2:50,45.559405,-73.610453,53,,
T,1/1/2018 2:50,45.558563,-73.612075,55,,
T,1/1/2018 2:50,45.557624,-73.61435,54,,
T,1/1/2018 2:50,45.556613,-73.616723,57,,
T,1/1/2018 2:50,45.555579,-73.619187,58,,
T,1/1/2018 2:51,45.554565,-73.621718,56,,
T,1/1/2018 2:51,45.553429,-73.624045,54,,
T,1/1/2018 2:51,45.552147,-73.626417,54,,
T,1/1/2018 2:51,45.550893,-73.628909,52,,
T,1/1/2018 2:51,45.55021,-73.631626,48,,
T,1/1/2018 2:51,45.549527,-73.634337,45,,
T,1/1/2018 2:52,45.548078,-73.636559,45,,
T,1/1/2018 2:52,45.546265,-73.638153,41,,
T,1/1/2018 2:52,45.544586,-73.63958,41,,
T,1/1/2018 2:52,45.542874,-73.640913,43,,
T,1/1/2018 2:52,45.541106,-73.642047,41,,
T,1/1/2018 2:52,45.53927,-73.643194,37,,
T,1/1/2018 2:53,45.537454,-73.644398,38,,
T,1/1/2018 2:53,45.535532,-73.645659,34,,
T,1/1/2018 2:53,45.533595,-73.646855,35,,
T,1/1/2018 2:53,45.531864,-73.64811,35,,
T,1/1/2018 2:53,45.530038,-73.649359,32,,
T,1/1/2018 2:53,45.528356,-73.65088,39,,
