Typ,Time,Latitude,Longitude,Altitude
T,01/01/2018 2:30,45.600248,-73.569993,42.6
T,01/01/2018 2:30,45.600451,-73.569691,43.6
T,01/01/2018 2:30,45.600329,-73.569334,42.6
T,01/01/2018 2:30,45.600061,-73.569042,43.6
T,01/01/2018 2:30,45.599636,-73.568883,42.6
T,01/01/2018 2:31,45.599363,-73.568991,43.6
T,01/01/2018 2:31,45.599345,-73.569249,41.6
T,01/01/2018 2:31,45.599545,-73.569732,39.6
T,01/01/2018 2:31,45.599792,-73.570312,41.6
T,01/01/2018 2:31,45.600124,-73.571095,41.6
T,01/01/2018 2:31,45.600395,-73.571736,39.6
T,01/01/2018 2:31,45.60069,-73.572409,37.6
T,01/01/2018 2:31,45.600988,-73.573088,35.6
T,01/01/2018 2:31,45.601192,-73.573587,35.6
T,01/01/2018 2:31,45.601368,-73.574059,34.6
T,01/01/2018 2:31,45.601622,-73.574639,34.6
T,01/01/2018 2:31,45.601914,-73.575295,34.6
T,01/01/2018 2:31,45.602143,-73.575824,33.6
T,01/01/2018 2:32,45.602381,-73.576368,33.6
T,01/01/2018 2:32,45.602699,-73.577097,33.6
T,01/01/2018 2:32,45.602957,-73.577663,32.6
T,01/01/2018 2:32,45.603168,-73.578112,30.6
T,01/01/2018 2:32,45.603232,-73.578252,28.6
T,01/01/2018 2:32,45.603306,-73.578446,28.6
T,01/01/2018 2:32,45.60351,-73.578933,28.6
T,01/01/2018 2:32,45.603761,-73.5795,29.6
T,01/01/2018 2:32,45.604056,-73.580212,31.6
T,01/01/2018 2:32,45.604293,-73.580759,31.6
T,01/01/2018 2:32,45.604515,-73.581263,30.6
T,01/01/2018 2:32,45.604679,-73.581631,31.6
T,01/01/2018 2:32,45.60489,-73.582092,33.6
T,01/01/2018 2:32,45.605164,-73.582708,35.6
T,01/01/2018 2:33,45.605394,-73.583234,34.6
T,01/01/2018 2:33,45.605617,-73.583708,33.6
T,01/01/2018 2:33,45.60572,-73.583939,33.6
T,01/01/2018 2:33,45.605827,-73.58402,32.6
T,01/01/2018 2:33,45.60611,-73.583786,33.6
T,01/01/2018 2:33,45.606379,-73.583545,35.6
T,01/01/2018 2:33,45.606557,-73.583387,35.6
T,01/01/2018 2:33,45.606676,-73.583308,36.6
T,01/01/2018 2:33,45.60684,-73.583252,39.6
T,01/01/2018 2:36,45.606898,-73.58329,37.6
T,01/01/2018 2:36,45.606793,-73.583493,33.6
T,01/01/2018 2:37,45.606608,-73.583443,34.6
T,01/01/2018 2:37,45.606409,-73.583539,33.6
T,01/01/2018 2:37,45.606049,-73.583861,35.6
T,01/01/2018 2:37,45.605853,-73.584072,36.6
T,01/01/2018 2:37,45.605828,-73.584258,35.6
T,01/01/2018 2:37,45.606004,-73.584718,37.6
T,01/01/2018 2:37,45.606239,-73.585234,36.6
T,01/01/2018 2:37,45.606455,-73.585713,37.6
T,01/01/2018 2:37,45.60666,-73.586183,36.6
T,01/01/2018 2:37,45.606878,-73.586103,38.6
T,01/01/2018 2:37,45.607174,-73.585609,38.6
T,01/01/2018 2:37,45.607524,-73.585006,38.6
T,01/01/2018 2:37,45.607939,-73.584292,38.6
T,01/01/2018 2:38,45.60827,-73.583769,38.6
T,01/01/2018 2:38,45.608667,-73.583336,38.6
T,01/01/2018 2:38,45.608846,-73.583202,37.6
T,01/01/2018 2:38,45.608888,-73.583156,37.6
T,01/01/2018 2:38,45.609122,-73.582948,38.6
T,01/01/2018 2:38,45.609527,-73.582535,37.6
T,01/01/2018 2:38,45.610061,-73.582005,36.6
T,01/01/2018 2:38,45.610401,-73.581692,36.6
T,01/01/2018 2:38,45.610571,-73.581547,36.6
T,01/01/2018 2:38,45.610651,-73.581429,37.6
T,01/01/2018 2:38,45.61059,-73.581068,37.6
T,01/01/2018 2:38,45.610382,-73.580361,37.6
T,01/01/2018 2:38,45.610125,-73.579414,35.6
T,01/01/2018 2:38,45.609819,-73.578327,36.6
T,01/01/2018 2:39,45.609596,-73.577481,35.6
T,01/01/2018 2:39,45.609356,-73.576612,35.6
T,01/01/2018 2:39,45.609009,-73.575477,36.6
T,01/01/2018 2:39,45.608571,-73.574231,36.6
T,01/01/2018 2:39,45.608188,-73.573249,35.6
T,01/01/2018 2:39,45.607696,-73.572045,36.6
T,01/01/2018 2:39,45.607247,-73.571109,38.6
T,01/01/2018 2:39,45.606602,-73.570111,41.6
T,01/01/2018 2:39,45.606037,-73.56952,43.6
T,01/01/2018 2:39,45.605443,-73.569071,43.6
T,01/01/2018 2:39,45.604588,-73.568685,40.6
T,01/01/2018 2:39,45.603839,-73.568577,40.6
T,01/01/2018 2:39,45.603128,-73.568662,40.6
T,01/01/2018 2:40,45.602293,-73.569004,40.6
T,01/01/2018 2:40,45.601536,-73.569507,39.6
T,01/01/2018 2:40,45.600914,-73.570033,41.6
T,01/01/2018 2:40,45.600114,-73.570699,38.6
T,01/01/2018 2:40,45.599239,-73.571427,38.6
T,01/01/2018 2:40,45.598343,-73.572221,36.6
T,01/01/2018 2:40,45.597474,-73.573036,36.6
T,01/01/2018 2:40,45.596661,-73.573995,36.6
T,01/01/2018 2:40,45.596207,-73.574652,37.6
T,01/01/2018 2:40,45.595868,-73.57514,37.6
T,01/01/2018 2:40,45.595541,-73.575618,36.6
T,01/01/2018 2:40,45.595142,-73.576235,37.6
T,01/01/2018 2:40,45.594812,-73.576765,36.6
T,01/01/2018 2:41,45.594365,-73.577421,36.6
T,01/01/2018 2:41,45.593903,-73.578084,37.6
T,01/01/2018 2:41,45.593502,-73.578643,37.6
T,01/01/2018 2:41,45.593098,-73.579225,38.6
T,01/01/2018 2:41,45.592679,-73.579824,38.6
T,01/01/2018 2:41,45.592231,-73.580376,42.6
T,01/01/2018 2:41,45.591575,-73.58102,45.6
T,01/01/2018 2:41,45.591004,-73.581503,46.6
T,01/01/2018 2:41,45.590301,-73.582095,47.6
T,01/01/2018 2:41,45.589585,-73.582679,47.6
T,01/01/2018 2:41,45.588856,-73.58332,46.6
T,01/01/2018 2:41,45.588231,-73.583876,45.6
T,01/01/2018 2:41,45.587459,-73.584585,47.6
T,01/01/2018 2:41,45.586854,-73.585132,48.6
T,01/01/2018 2:42,45.586272,-73.585679,48.6
T,01/01/2018 2:42,45.585645,-73.586309,50.6
T,01/01/2018 2:42,45.585133,-73.586792,51.6
T,01/01/2018 2:42,45.584618,-73.587269,52.6
T,01/01/2018 2:42,45.584138,-73.587706,52.6
T,01/01/2018 2:42,45.583568,-73.588213,53.6
T,01/01/2018 2:42,45.583106,-73.58862,55.6
T,01/01/2018 2:42,45.582528,-73.589145,57.6
T,01/01/2018 2:42,45.581943,-73.589687,56.6
T,01/01/2018 2:42,45.581306,-73.590288,54.6
T,01/01/2018 2:42,45.580774,-73.590789,55.6
T,01/01/2018 2:42,45.580124,-73.591351,53.6
T,01/01/2018 2:42,45.579635,-73.591759,51.6
T,01/01/2018 2:43,45.579055,-73.592225,50.6
