type,time,latitude,longitude,altitude (m),name,des
T,30/12/2017 20:16,45.50488,-73.556723,54,,
T,30/12/2017 20:16,45.504849,-73.556355,56,,
T,30/12/2017 20:16,45.504774,-73.556105,58,,
T,30/12/2017 20:17,45.504703,-73.555857,49,,
T,30/12/2017 20:17,45.504622,-73.555553,50,,
T,30/12/2017 20:17,45.504555,-73.555302,49,,
T,30/12/2017 20:17,45.50445,-73.554912,43,,
T,30/12/2017 20:17,45.504378,-73.554645,35,,
T,30/12/2017 20:18,45.504,-73.554639,33,,
T,30/12/2017 20:18,45.50359,-73.554817,22,,
T,30/12/2017 20:18,45.5034,-73.554912,24,,
T,30/12/2017 20:18,45.503118,-73.554361,21,,
T,30/12/2017 20:18,45.502884,-73.554364,20,,
T,30/12/2017 20:19,45.502509,-73.554718,19,,
T,30/12/2017 20:19,45.502696,-73.55519,20,,
T,30/12/2017 20:19,45.502845,-73.555462,21,,
T,30/12/2017 20:19,45.503131,-73.55597,25,,
T,30/12/2017 20:19,45.503471,-73.556589,29,,
T,30/12/2017 20:19,45.503753,-73.557134,27,,
T,30/12/2017 20:20,45.50388,-73.557378,30,,
T,30/12/2017 20:20,45.504115,-73.557913,27,,
T,30/12/2017 20:20,45.504211,-73.558143,25,,
T,30/12/2017 20:20,45.504005,-73.558359,27,,
T,30/12/2017 20:21,45.503585,-73.558668,29,,
T,30/12/2017 20:24,45.503415,-73.558785,43,,
T,30/12/2017 20:24,45.503053,-73.559045,44,,
T,30/12/2017 20:24,45.502873,-73.559169,46,,
T,30/12/2017 20:24,45.502525,-73.559018,46,,
T,30/12/2017 20:25,45.502405,-73.55876,42,,
T,30/12/2017 20:25,45.502465,-73.558485,43,,
T,30/12/2017 20:25,45.50298,-73.558105,36,,
T,30/12/2017 20:25,45.50357,-73.55767,34,,
T,30/12/2017 20:26,45.503753,-73.557535,34,,
T,30/12/2017 20:26,45.504063,-73.557792,36,,
T,30/12/2017 20:26,45.504227,-73.55817,36,,
T,30/12/2017 20:27,45.504506,-73.558813,30,,
T,30/12/2017 20:28,45.504614,-73.559065,25,,
T,30/12/2017 20:28,45.504927,-73.558925,26,,
T,30/12/2017 20:28,45.505288,-73.558631,27,,
T,30/12/2017 20:28,45.5055,-73.558456,28,,
T,30/12/2017 20:28,45.506263,-73.557796,30,,
T,30/12/2017 20:29,45.506622,-73.557499,34,,
T,30/12/2017 20:29,45.506818,-73.557347,34,,
T,30/12/2017 20:29,45.507558,-73.556762,32,,
T,30/12/2017 20:29,45.508497,-73.556113,31,,
T,30/12/2017 20:30,45.509098,-73.556786,28,,
T,30/12/2017 20:30,45.508599,-73.557548,26,,
T,30/12/2017 20:30,45.507552,-73.558377,19,,
T,30/12/2017 20:30,45.506378,-73.5592,19,,
T,30/12/2017 20:30,45.505108,-73.560271,19,,
T,30/12/2017 20:32,45.491854,-73.574251,27,,
T,30/12/2017 20:33,45.49088,-73.574953,41,,
T,30/12/2017 20:33,45.489962,-73.575507,29,,
T,30/12/2017 20:33,45.489282,-73.576358,28,,
T,30/12/2017 20:33,45.489025,-73.576643,26,,
T,30/12/2017 20:33,45.488641,-73.576543,24,,
T,30/12/2017 20:34,45.488207,-73.575893,23,,
T,30/12/2017 20:34,45.488398,-73.575477,21,,
T,30/12/2017 20:34,45.488685,-73.575343,21,,
T,30/12/2017 20:34,45.489072,-73.575171,21,,
T,30/12/2017 20:34,45.489441,-73.574822,22,,
T,30/12/2017 20:34,45.489747,-73.574517,20,,
T,30/12/2017 20:38,45.489906,-73.574358,26,,
T,30/12/2017 20:38,45.490045,-73.573951,27,,
T,30/12/2017 20:39,45.48956,-73.572964,23,,
T,30/12/2017 20:39,45.489223,-73.572261,22,,
T,30/12/2017 20:39,45.489339,-73.57194,18,,
T,30/12/2017 20:40,45.490235,-73.571096,15,,
T,30/12/2017 20:40,45.490936,-73.57043,12,,
T,30/12/2017 20:40,45.49124,-73.570143,18,,
T,30/12/2017 20:40,45.491125,-73.569342,13,,
T,30/12/2017 20:40,45.490526,-73.568085,15,,
T,30/12/2017 20:41,45.490143,-73.567275,19,,
T,30/12/2017 20:42,45.49083,-73.566573,19,,
T,30/12/2017 20:42,45.491725,-73.565804,21,,
T,30/12/2017 20:42,45.492611,-73.565053,20,,
T,30/12/2017 20:43,45.492916,-73.564814,10,,
T,30/12/2017 20:43,45.493591,-73.564291,17,,
T,30/12/2017 20:43,45.49419,-73.563834,29,,
T,30/12/2017 20:43,45.495047,-73.563261,41,,
T,30/12/2017 20:43,45.496182,-73.562568,31,,
T,30/12/2017 20:43,45.496877,-73.562079,33,,
T,30/12/2017 20:44,45.497224,-73.561993,23,,
T,30/12/2017 20:44,45.497935,-73.561612,20,,
T,30/12/2017 20:44,45.49864,-73.561209,18,,
T,30/12/2017 20:44,45.499514,-73.560606,22,,
T,30/12/2017 20:45,45.500224,-73.560097,18,,
T,30/12/2017 20:45,45.500699,-73.559748,22,,
T,30/12/2017 20:45,45.500946,-73.559583,34,,
