type,time,latitude,longitude,altitude (m),name,des
T,30/12/2017 20:16,45.504932,-73.556615,20.2,,
T,30/12/2017 20:16,45.504927,-73.556512,24.1,,
T,30/12/2017 20:16,45.504862,-73.556396,24.1,,
T,30/12/2017 20:16,45.504802,-73.556268,25.4,,
T,30/12/2017 20:16,45.504799,-73.556154,27.7,,
T,30/12/2017 20:16,45.504733,-73.556036,28.5,,
T,30/12/2017 20:16,45.504701,-73.555906,20.4,,
T,30/12/2017 20:16,45.504602,-73.555778,20.3,,
T,30/12/2017 20:16,45.504527,-73.555729,21.8,,
T,30/12/2017 20:17,45.504485,-73.555619,25.4,,
T,30/12/2017 20:17,45.504443,-73.555507,30,,
T,30/12/2017 20:17,45.50445,-73.555393,28.1,,
T,30/12/2017 20:17,45.504504,-73.555305,13.1,,
T,30/12/2017 20:17,45.504525,-73.555193,11.8,,
T,30/12/2017 20:17,45.504454,-73.555075,15.7,,
T,30/12/2017 20:17,45.504397,-73.554962,13.3,,
T,30/12/2017 20:17,45.504383,-73.554836,11.3,,
T,30/12/2017 20:17,45.504342,-73.554739,7.3,,
T,30/12/2017 20:17,45.504331,-73.554623,3.3,,
T,30/12/2017 20:17,45.504259,-73.554585,-1.4,,
T,30/12/2017 20:17,45.504128,-73.554655,-1.2,,
T,30/12/2017 20:18,45.503944,-73.554757,-2.9,,
T,30/12/2017 20:18,45.503712,-73.554874,-7.2,,
T,30/12/2017 20:18,45.503562,-73.55489,-4.9,,
T,30/12/2017 20:18,45.503441,-73.554958,-6.8,,
T,30/12/2017 20:18,45.503356,-73.554994,-10.7,,
T,30/12/2017 20:18,45.503313,-73.554896,-11.6,,
T,30/12/2017 20:18,45.503201,-73.554482,-13.2,,
T,30/12/2017 20:18,45.503148,-73.554347,-15,,
T,30/12/2017 20:18,45.503068,-73.554294,-12.1,,
T,30/12/2017 20:18,45.502932,-73.55441,-12.5,,
T,30/12/2017 20:18,45.502747,-73.554548,-14.1,,
T,30/12/2017 20:18,45.502608,-73.554671,-15.2,,
T,30/12/2017 20:18,45.50254,-73.554772,-13.5,,
T,30/12/2017 20:19,45.502564,-73.554896,-13.6,,
T,30/12/2017 20:19,45.502686,-73.555102,-14.7,,
T,30/12/2017 20:19,45.502795,-73.555234,-16,,
T,30/12/2017 20:19,45.502808,-73.555325,-17.7,,
T,30/12/2017 20:19,45.502854,-73.555467,-15.9,,
T,30/12/2017 20:19,45.502935,-73.555676,-11.8,,
T,30/12/2017 20:19,45.503041,-73.555836,-9.2,,
T,30/12/2017 20:19,45.503189,-73.55604,-10.8,,
T,30/12/2017 20:19,45.503321,-73.556322,-11.2,,
T,30/12/2017 20:19,45.50347,-73.556521,-10.2,,
T,30/12/2017 20:19,45.503548,-73.556702,-8.8,,
T,30/12/2017 20:19,45.503698,-73.556963,-7.4,,
T,30/12/2017 20:19,45.503791,-73.557157,-8.7,,
T,30/12/2017 20:20,45.503836,-73.557294,-9.4,,
T,30/12/2017 20:20,45.503887,-73.557361,-9.5,,
T,30/12/2017 20:20,45.50401,-73.557589,-7.2,,
T,30/12/2017 20:20,45.504112,-73.557782,-2.9,,
T,30/12/2017 20:20,45.504318,-73.557896,-6.2,,
T,30/12/2017 20:20,45.504383,-73.558006,-4.6,,
T,30/12/2017 20:20,45.504359,-73.55812,-5.3,,
T,30/12/2017 20:20,45.504309,-73.558305,-4.6,,
T,30/12/2017 20:20,45.504218,-73.558497,-2.4,,
T,30/12/2017 20:20,45.504034,-73.55863,-0.2,,
T,30/12/2017 20:20,45.503835,-73.558754,2.5,,
T,30/12/2017 20:21,45.503682,-73.558874,5.8,,
T,30/12/2017 20:21,45.5036,-73.558911,1.7,,
T,30/12/2017 20:24,45.503516,-73.558957,9.5,,
T,30/12/2017 20:24,45.503248,-73.559074,11.6,,
T,30/12/2017 20:24,45.503061,-73.55917,12.1,,
T,30/12/2017 20:24,45.502914,-73.559158,13,,
T,30/12/2017 20:24,45.502838,-73.559126,17.5,,
T,30/12/2017 20:24,45.502698,-73.559197,18.7,,
T,30/12/2017 20:24,45.50255,-73.55901,17.3,,
T,30/12/2017 20:24,45.502449,-73.558937,15.1,,
T,30/12/2017 20:24,45.502469,-73.558816,6.2,,
T,30/12/2017 20:25,45.50255,-73.558772,-4.4,,
T,30/12/2017 20:25,45.502523,-73.558684,1.8,,
T,30/12/2017 20:25,45.502606,-73.558473,4.4,,
T,30/12/2017 20:25,45.502899,-73.558297,-4.3,,
