typ,time,latitude,longitude,altitude (m),name,desc
T,31/12/2017 20:53,45.499229,-73.608234,149.4,,
T,31/12/2017 20:53,45.499253,-73.608351,148.4,,
T,31/12/2017 20:53,45.499332,-73.608353,150.4,,
T,31/12/2017 20:53,45.499388,-73.608256,149.4,,
T,31/12/2017 20:53,45.499429,-73.608177,148.4,,
T,31/12/2017 20:53,45.499524,-73.608019,149.4,,
T,31/12/2017 20:53,45.499653,-73.607827,151.4,,
T,31/12/2017 20:53,45.499761,-73.607664,153.4,,
T,31/12/2017 20:53,45.499918,-73.60744,155.4,,
T,31/12/2017 20:53,45.500049,-73.60724,156.4,,
T,31/12/2017 20:53,45.500141,-73.607107,157.4,,
T,31/12/2017 20:53,45.500229,-73.607113,157.4,,
T,31/12/2017 20:53,45.500314,-73.607253,157.4,,
T,31/12/2017 20:54,45.500379,-73.607387,158.4,,
T,31/12/2017 20:54,45.500471,-73.60759,157.4,,
T,31/12/2017 20:54,45.500535,-73.607743,158.4,,
T,31/12/2017 20:54,45.500574,-73.607882,158.4,,
T,31/12/2017 20:54,45.500488,-73.60798,158.4,,
T,31/12/2017 20:54,45.500389,-73.608079,156.4,,
T,31/12/2017 20:54,45.500275,-73.608218,154.4,,
T,31/12/2017 20:54,45.500244,-73.608337,154.4,,
T,31/12/2017 20:54,45.500365,-73.60845,152.4,,
T,31/12/2017 20:54,45.500461,-73.60848,154.4,,
T,31/12/2017 20:54,45.500604,-73.608451,154.4,,
T,31/12/2017 20:54,45.500714,-73.608405,155.4,,
T,31/12/2017 20:54,45.500819,-73.608355,157.4,,
T,31/12/2017 20:55,45.500908,-73.608396,158.4,,
T,31/12/2017 20:55,45.500983,-73.608517,157.4,,
T,31/12/2017 20:55,45.501066,-73.608726,155.4,,
T,31/12/2017 20:55,45.501106,-73.608918,155.4,,
T,31/12/2017 20:55,45.501138,-73.609081,155.4,,
T,31/12/2017 20:55,45.501238,-73.609133,157.4,,
T,31/12/2017 20:55,45.501373,-73.609108,157.4,,
T,31/12/2017 20:55,45.501463,-73.60908,158.4,,
T,31/12/2017 20:55,45.501614,-73.608986,159.4,,
T,31/12/2017 20:55,45.501696,-73.608926,159.4,,
T,31/12/2017 20:55,45.501709,-73.608812,160.4,,
T,31/12/2017 20:55,45.501658,-73.608678,160.4,,
T,31/12/2017 20:55,45.501587,-73.6085,159.4,,
T,31/12/2017 20:55,45.5015,-73.608305,160.4,,
T,31/12/2017 20:56,45.501415,-73.608133,158.4,,
T,31/12/2017 20:56,45.501444,-73.608036,157.4,,
T,31/12/2017 20:56,45.501637,-73.607975,158.4,,
T,31/12/2017 20:56,45.501799,-73.607958,159.4,,
T,31/12/2017 20:56,45.501956,-73.60796,158.4,,
T,31/12/2017 20:56,45.502048,-73.607896,159.4,,
T,31/12/2017 20:56,45.502082,-73.607755,159.4,,
T,31/12/2017 20:56,45.502094,-73.60753,159.4,,
T,31/12/2017 20:56,45.502147,-73.607379,159.4,,
T,31/12/2017 20:56,45.502234,-73.607251,160.4,,
